id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
po193396,35.439973,-118.851534,mgr,WGS84,10,314,Amsinckia micrantha,Richard Spjut,2021-07-09,CNPS Kern Chapter,Kern,San Joaquin Valley: Along the Kern River and trail that runs east off the north end of gravel parking area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
SD00012878,33.15972,-117.2725,cch2,WGS84,80,20106,Amsinckia menziesii,Andrew C. Sanders,2004-04-23,SDNHM,San Diego,"Carlsbad, Carlsbad Highlands Ecological Reserve, slopes & canyons ca. 1 mile SE of Cerro de la Calavera, SW of the end of Cannon Rd.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5736953,33.68971,-117.63169,cch2,WGS84,5,78,Amsinckia menziesii,Ron Vanderhoff,2023-01-29,UCI,Orange,"Vulture View Rd., ca 120m N junct. of Sage Scrub Trail, Whiting Ranch Wilderness Park",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5802736,33.627269,-117.761333,cch2,WGS84,20,1256,Amsinckia menziesii,Fred M. Roberts,2017-06-06,UCI,Orange,"SAN JOAQUIN HILLS: Irvine Open Space Preserve, Laguna Canyon, near jct. of East Canyon and Mule Deer Trail, ca. 170 meters SW gate on Laguna Canyon Road (ca. 5.2 km ENE Signal Peak). Tustin 7.5' USGS Quad: UTM Z11 0429386mE, 3721089mN",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SDSU23795,34.160278,-117.798889,cch2,WGS84,100,31415,Amsinckia menziesii,R. G. Swinney,2016-04-18,SDSU Herbarium,Los Angeles,"San Gabriel Mts., San Dimas Experimental Forest, n. of La Verne, Johnstone Peak summit, Glendora Quad",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SDSU23847,34.152778,-117.801111,cch2,WGS84,100,31415,Amsinckia menziesii,R. G. Swinney,2016-04-20,SDSU Herbarium,Los Angeles,"San Gabriel Mountains, n. of La Verne/San Dimas, San Dimas Experimental Forest , S.w. junction of Bluebird Mtwy.(1N15) and Sycamore Flats Rd., Glendora Quad.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SDSU25069,34.143611,-117.75833,cch2,WGS84,100,31415,Amsinckia menziesii,R. G. Swinney,2021-04-01,SDSU Herbarium,Los Angeles,"Golden Hills Wilderness Park, 2300 Golden Hills Rd., Glendora Quad 7.5'",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
CSUSB91860,34.1875,-117.326333,cch2,WGS84,100,31415,Amsinckia menziesii,Jose A. Vazquez,2010-04-30,CSU San Bernardino,San Bernardino,West of parking structure west at California State University of San Bernardino.,medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SDSU24999,34.469444,-118.189167,cch2,WGS84,100,31415,Amsinckia menziesii,R. G. Swinney,2021-03-22,SDSU Herbarium,Los Angeles,"Acton Wash Wildlife Sanctuary, Santa Clara Wash (Soledad Cyn.), Acton Quad 7.5'",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
OBI183185,34.74637,-118.72498,cch2,WGS84,6,113,Amsinckia menziesii,Jordan Collins,2022-05-17,Cal Poly,Los Angeles,"Western Transverse Ranges, Angeles National Forest, Bald Mountain, Ridgeline on Bald Mountain. 1000ft N of U.S. Weather Bureau Station, 1.75 airmile SE of Quail Lake.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
