id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
wb2494-187,37.365337,-122.280597,gmd218,WGS84,10,314,Amsinckia menziesii,Slakey,2023-08-04,AECOM,San Mateo,"Midpen Preserves along Skyline Boulevard, including La Honda Creek, Thornewood, Coal Canyon, Russian Ridge, and Skyline Ridge",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu30632,39.7958,-121.73,mgr,WGS84,50,7854,Amsinckia menziesii,Alaine Arslan,2023-04-13,NA,Butte,"Annie Bidwell Trail, Upper Bidwell Park, Chico, CA 95928, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg199700,38.851015,-121.222089,mgr,WGS84,14,582,Amsinckia menziesii,David popp,2023-04-13,NA,Placer,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg198788,39.739185,-121.791837,mgr,WGS84,5,92,Amsinckia menziesii,David popp,2023-04-08,NA,Butte,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg197891,40.105114,-122.040953,mgr,WGS84,148,68549,Amsinckia menziesii,David popp,2023-04-01,NA,Tehama,NA,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po246237,38.015728,-121.795831,mgr,WGS84,4,50,Amsinckia menziesii var. menziesii,Dianne Lake,2023-03-30,NA,Contra Costa,Antioch Dunes: Stamm Unit,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po245706,37.40882,-122.238,mgr,WGS84,10,314,Amsinckia menziesii,John Rawlings,2023-03-19,Jasper Ridge Biological Preserve (JRBP/JROH),San Mateo,"Jasper Ridge Biological Preserve, Stanford University ; Road C",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io83440,34.184145,-118.498703,mgr,WGS84,4,50,Amsinckia menziesii,David Strauch,2023-03-12,NA,Los Angeles,"Sepulveda Basin, San Fernando Valley",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io82979,33.637362,-117.825247,mgr,WGS84,4,50,Amsinckia menziesii,Ron Vanderhoff,2023-03-02,NA,Orange,"N of junction Anteater Rd. and Culver Drive, UCI, Irvine",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io82447,33.694163,-117.650108,mgr,WGS84,4,50,Amsinckia menziesii,Ron Vanderhoff,2023-02-19,NA,Orange,"ca 450m N of water tank at base of Water Tank Rd., Whiting Ranch Park",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
