id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
wb2421-1112,35.942289,-116.926724,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-20,Bristlecone CNPS,Inyo,Small Spring in Anvil Spring Canyon; W of Mesquite Spring,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-1090,35.933501,-116.893463,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-19,Bristlecone CNPS,Inyo,Anvil Spring Canyon; gravelly wash; ~1 mile E of Mesquite Spring,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-1099,35.940448,-116.909862,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-19,Bristlecone CNPS,Inyo,Mesquite Spring in Anvil Spring Canyon,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-1018,37.098548,-117.684648,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-10,Bristlecone CNPS,Inyo,W side of Eureka Dunes at North end; low sand depth adjacent to dunes,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-1014,37.100073,-117.682771,online,WGS84,126,50000,Atriplex polycarpa,"Del Favero, Steven",2008-12-09,Bristlecone CNPS,Inyo,"Site runs from mouth of Vigin Spring Canyon, N, up canyon ~2.5 miles",medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-218,36.320314,-117.515151,online,WGS84,126,50000,Atriplex polycarpa,"Slaton, Michèle",2008-03-24,Bristlecone CNPS,Inyo,Darwin Falls,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb2421-237,37.012621,-117.347791,online,WGS84,126,50000,Atriplex polycarpa,"Slaton, Michèle",2007-10-11,Bristlecone CNPS,Inyo,Cottonwood Corner,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
IRVC107838,34.28722,-115.45111,cch2,WGS84,99,30790,Atriplex polycarpa,A.C. Sanders,2004-10-10,UCI,San Bernardino,"Cadiz Valley ca. 17 miles north of Hwy 62, west of Cadiz Lake salt evaporators, along dirt road up west side of valley toward Calumet Mine",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
RSA0200984,34.31408,-114.7757,cch2,WGS84,5,78,Atriplex polycarpa,Sarah J. De Groot,2018-10-30,Cal BG,San Bernardino,"BLMTurtle Mountains Wilderness: Mopah Spring. Ca. 3.4 air miles west-southwest of NS 634, ca. 4.4 road miles west of Highway 95 on NS 634, ca. 0.7 air miles west-northwest of Mopah Peak 1076T.; Mopah Peaks 7.5' quad. San Bernardino meridian",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
IRVC107839,34.32444,-115.47556,cch2,WGS84,99,30790,Atriplex polycarpa,A.C. Sanders,2004-10-10,UCI,San Bernardino,"Cadiz Valley ca. 19 miles north of Hwy 62, west of north end of Cadiz Lake, along dirt road up west side of valley toward Calumet Mine",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
RSA0170804,34.931944,-119.014722,cch2,WGS84,10,314,Atriplex polycarpa,Tim Thomas,2004-05-14,Cal BG,Kern,"Southern San Joaquin Valley: San Emigdio Ranch, 2 miles up from the mouth of Salt Creek.; Grapevine Creek 7.5'",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
OBI186268,36.136833,-120.187389,cch2,WGS84,100,31415,Atriplex polycarpa,Mitch Provance,2012-08-22,Cal Poly,Fresno,"Pleasant Valley. Polvadero Gap, between the Guijarral Hills and Kettleman Hills, Zapato Chino Creek, south side of Jayne Ave., 0.7 miles east of Sutter Ave. 7.5' Quad: Guijarral Hills.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
