id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
mg198191,32.863378,-116.219379,mgr,WGS84,4,47,Atriplex polycarpa,Ryan O'Dell,2023-04-01,NA,San Diego,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg198187,33.138711,-116.375782,mgr,WGS84,6,114,Atriplex polycarpa,Ryan O'Dell,2023-04-01,NA,San Diego,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg198084,35.318154,-118.093608,mgr,WGS84,5,89,Atriplex polycarpa,Ryan O'Dell,2023-03-30,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191353,36.435207,-120.553028,mgr,WGS84,5,77,Atriplex polycarpa,Ryan O'Dell,2023-02-20,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191351,36.435132,-120.546829,mgr,WGS84,7,154,Atriplex polycarpa,Ryan O'Dell,2023-02-20,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191343,36.443453,-120.536472,mgr,WGS84,5,75,Atriplex polycarpa,Ryan O'Dell,2023-02-20,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191309,36.447241,-120.51111,mgr,WGS84,5,69,Atriplex polycarpa,Ryan O'Dell,2023-02-19,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191239,36.457743,-120.496415,mgr,WGS84,5,65,Atriplex polycarpa,Ryan O'Dell,2023-02-19,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191221,36.4621,-120.498516,mgr,WGS84,8,222,Atriplex polycarpa,Ryan O'Dell,2023-02-19,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191220,36.462367,-120.498815,mgr,WGS84,5,73,Atriplex polycarpa,Ryan O'Dell,2023-02-19,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191158,36.464871,-120.505694,mgr,WGS84,8,192,Atriplex polycarpa,Ryan O'Dell,2023-02-19,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191154,36.465043,-120.50653,mgr,WGS84,4,50,Atriplex polycarpa,Ryan O'Dell,2023-02-19,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191118,36.472361,-120.517166,mgr,WGS84,4,47,Atriplex polycarpa,Ryan O'Dell,2023-02-19,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg189225,36.146459,-120.268044,mgr,WGS84,4,47,Atriplex polycarpa,Ryan O'Dell,2023-02-09,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg189178,36.300398,-120.306258,mgr,WGS84,6,101,Atriplex polycarpa,Ryan O'Dell,2023-02-08,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu27719,33.5834,-115.9225,mgr,WGS84,50,7854,Atriplex polycarpa,Keir Morse,2023-01-06,NA,Riverside,"H3MH+92 Mortmar, CA, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu22450,37.1629,-118.212,mgr,WGS84,50,7854,Atriplex polycarpa,Steve Matson,2022-03-26,NA,Inyo,"5Q7Q+56 Monola, CA, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu21796,37.2157,-118.2425,mgr,WGS84,50,7854,Atriplex polycarpa,Steve Matson,2022-02-24,NA,Inyo,"6Q85+72 Zurich, CA, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg156249,36.614646,-120.7102,mgr,WGS84,3,31,Atriplex polycarpa,R.A. Chasey,2022-02-20,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io58547,35.53854,-119.0338,mgr,WGS84,4,50,Atriplex polycarpa,Angelique Herman,2021-11-09,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io58498,35.53846,-119.03769,mgr,WGS84,6,113,Atriplex polycarpa,Angelique Herman,2021-11-09,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io51936,35.57519,-118.99529,mgr,WGS84,6,113,Atriplex polycarpa,Angelique Herman,2021-06-28,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io38427,35.7981,-120.10745,mgr,WGS84,8,201,Atriplex polycarpa,Angelique Herman,2020-09-28,NA,Kings,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io22211,35.061022,-118.276692,mgr,WGS84,6,113,Atriplex polycarpa,Angelique Herman,2019-09-24,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io16512,35.484442,-119.514588,mgr,WGS84,32,3216,Atriplex polycarpa,Angelique Herman,2019-07-17,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po154278,36.62863,-120.87492,mgr,WGS84,1,1,Atriplex polycarpa,Christopher Hauser,2019-06-20,Center for Natural Lands Management,San Benito,"USA, California, eastern San Benito County, western Panoche Valley. Panoche Valley Preserve. Growing about 150 meters east from Little Panoche Road. N 36.62863 W 120.87492",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
