id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
SD00023276,32.88333,-117.03333,cch2,WGS84,80,20106,Caulanthus lasiophyllus,Jon Rebman,2000-04-26,SDNHM,San Diego,"MCAS Miramar: Training Area #2, near Oak Canyon, SE side of MCAS .",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SD00008066,32.98639,-114.62306,cch2,WGS84,80,20106,Caulanthus lasiophyllus,Jon P. Rebman,2005-02-10,SDNHM,Imperial,"Little Picacho Wilderness Area (BLM property), north of Winterhaven, southwest of Colorado River, approximately 18 miles north of S24, on Picacho Road; just south of the Picacho State Recreation Area. (IPB 10/07)",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
RSA0121892,33.747797,-117.699375,cch2,WGS84,9,254,Caulanthus lasiophyllus,D. E. Bramlet,2008-03-31,Cal BG,Orange,"305m E of Upper Hicks Haul Rd, in Trib. to Limestone Cyn., 1km S of Santiago Cyn. Rd.; El Toro Quad.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SBBG173618,34.10149,-118.95476,cch2,WGS84,100,31415,Caulanthus lasiophyllus,R. Burgess,2019-03-18,Santa Barbara BG,Ventura,"Western Santa Monica Mtns, near 8550 Mipolomol Rd. Woolsey fire burn zone",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
IRVC26410,34.14917,-116.45583,cch2,WGS84,99,30790,Caulanthus lasiophyllus,A.C. Sanders,2003-04-05,UCI,San Bernardino,"UC Burns Pinyon Ridge Reserve, off Skyline Ranch Rd. ca. 2 miles (air) ESE of Pinoneertown, 1.5 mi. (air) NW of Yucca Valley, between front gate and reserve headquarters at old Burns home. Flats and bouldery granitic hills, decomposed granite soil;",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5844471,34.584244,-118.713969,cch2,WGS84,5,78,Caulanthus lasiophyllus,Jordan Collins,2023-06-13,Cal Poly,Los Angeles,"Western Transverse Ranges, Angeles National Forest, Whitaker Peak Bioregion. Seasonal drainage on S side of Whitaker Peak Rd, ca. 175 air meters SW of Golden State Hwy.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
RSA0103473,34.375278,-118.443611,cch2,WGS84,100,31415,Caulanthus lasiophyllus,R. G. Swinney,2011-05-10,Cal BG,Los Angeles,"San Gabriel Mountains: Los Pinetos Canyon, east end of Placerita Cyn. Natural Area at Walker Ranch.; Mint Canyon 7.5' Quad.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5545098,34.67813,-118.76795,cch2,WGS84,4,50,Caulanthus lasiophyllus,Jordan Collins,2022-04-18,Cal Poly,Los Angeles,"Western Transverse Ranges, Angeles National Forest, Bald Mountain, West Fork of Liebre Gulch, NE of I-5",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5784734,34.749798,-118.793673,cch2,WGS84,6,113,Caulanthus lasiophyllus,Jordan Collins,2023-03-29,Cal Poly,Los Angeles,"Western Transverse Ranges, Angeles National Forest, Peace Valley Bioregion. Slope above Joshua Tree Woodland just E of Copco Ave, about 157m E of I-5.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
OBI100659,35.3864,-120.1436,cch2,WGS84,47,6939,Caulanthus lasiophyllus,David J. Keil,2008-04-11,Cal Poly,San Luis Obispo,"Highway 58, just east to ca. 0.25 miles east of San Juan Creek bridge. South side of highway.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
