id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
mg221296,37.897741,-121.934804,mgr,WGS84,15,712,Caulanthus lasiophyllus,Ryan O'Dell,2023-08-13,NA,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg221295,37.896813,-121.93277,mgr,WGS84,4,55,Caulanthus lasiophyllus,Ryan O'Dell,2023-08-13,NA,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg214583,37.911447,-122.494365,mgr,WGS84,23,1666,Caulanthus lasiophyllus,Amanda Magallanes,2023-07-10,Marin County Parks data pro,Marin,RING MOUNTAIN,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg210299,40.365502,-122.862388,mgr,WGS84,8,199,Caulanthus lasiophyllus,Ryan O'Dell,2023-06-16,NA,Shasta,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg210295,40.365113,-122.86268,mgr,WGS84,4,45,Caulanthus lasiophyllus,Ryan O'Dell,2023-06-16,NA,Shasta,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg210293,40.364915,-122.862803,mgr,WGS84,4,56,Caulanthus lasiophyllus,Ryan O'Dell,2023-06-16,NA,Shasta,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg210291,40.364607,-122.862776,mgr,WGS84,28,2440,Caulanthus lasiophyllus,Ryan O'Dell,2023-06-16,NA,Shasta,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg199667,37.982236,-122.605918,mgr,WGS84,8,205,Caulanthus lasiophyllus,Julian Geoghegan,2023-04-13,Marin County Parks data pro,Marin,CASCADE CANYON,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu30561,36.6378,-117.998,mgr,WGS84,50,7854,Caulanthus lasiophyllus,Steve Matson,2023-04-11,NA,Inyo,"J2Q2+4R Lone Pine, CA, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu30382,36.2378,-117.4231,mgr,WGS84,50,7854,Caulanthus lasiophyllus,Steve Matson,2023-04-01,NA,Inyo,"6HQG+4Q Panamint Springs, CA, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg197773,37.651737,-121.488332,mgr,WGS84,5,95,Caulanthus lasiophyllus,R.A. Chasey,2023-03-30,NA,San Joaquin,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg197772,37.653577,-121.48688,mgr,WGS84,9,278,Caulanthus lasiophyllus,R.A. Chasey,2023-03-30,NA,San Joaquin,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg196510,37.208183,-121.800952,mgr,WGS84,5,93,Caulanthus lasiophyllus,R.A. Chasey,2023-03-23,NA,Santa Clara,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg196504,37.206314,-121.803997,mgr,WGS84,4,47,Caulanthus lasiophyllus,R.A. Chasey,2023-03-23,NA,Santa Clara,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg196173,37.939095,-122.204954,mgr,WGS84,9,257,Caulanthus lasiophyllus,R.A. Chasey,2023-03-19,NA,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg194855,37.897788,-122.01061,mgr,WGS84,11,405,Caulanthus lasiophyllus,R.A. Chasey,2023-03-10,NA,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg194852,37.897473,-122.010395,mgr,WGS84,9,260,Caulanthus lasiophyllus,R.A. Chasey,2023-03-10,NA,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po245225,37.400451,-122.212932,mgr,WGS84,10,314,Caulanthus lasiophyllus,"John Rawlings, Sara Timby",2023-03-05,Jasper Ridge Biological Preserve (JRBP/JROH),San Mateo,Jasper Ridge Biological Preserve; old Area H north of road F about 100-125m,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg193561,34.675024,-116.98016,mgr,WGS84,7,137,Caulanthus lasiophyllus,R.A. Chasey,2023-03-03,NA,San Bernardino,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg192980,36.080446,-120.142622,mgr,WGS84,6,114,Caulanthus lasiophyllus,Ryan O'Dell,2023-03-02,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg192977,36.080563,-120.142445,mgr,WGS84,4,46,Caulanthus lasiophyllus,Ryan O'Dell,2023-03-02,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191098,36.538868,-120.56446,mgr,WGS84,5,84,Caulanthus lasiophyllus,Ryan O'Dell,2023-02-18,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg191077,36.53962,-120.563137,mgr,WGS84,4,62,Caulanthus lasiophyllus,Ryan O'Dell,2023-02-18,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg189417,36.08179,-120.335635,mgr,WGS84,8,225,Caulanthus lasiophyllus,Ryan O'Dell,2023-02-09,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg189208,36.086808,-120.19025,mgr,WGS84,7,141,Caulanthus lasiophyllus,Ryan O'Dell,2023-02-09,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg186901,38.75867,-123.520982,mgr,WGS84,13,508,Caulanthus lasiophyllus,Nicole Forte,2022-11-04,RCLC - Mill Bend Preserve,Mendocino,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu22144,37.3602,-118.3415,mgr,WGS84,50,7854,Caulanthus lasiophyllus,Steve Matson,2022-03-24,NA,Inyo,"9M65+3C Poleta, CA, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io62162,36.560867,-120.829978,mgr,WGS84,6,113,Caulanthus lasiophyllus,Catherine Chang,2022-03-13,NA,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po226752,37.40386,-122.22191,mgr,WGS84,10,314,Caulanthus lasiophyllus,"John Rawlings, Sara Timby, Rebecca Reynolds, Ken Hickman, Bill Gomez",2022-03-13,Jasper Ridge Biological Preserve (JRBP/JROH),San Mateo,"Jasper Ridge Biological Preserve, Stanford University",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg156878,37.869409,-121.989514,mgr,WGS84,9,255,Caulanthus lasiophyllus,R.A. Chasey,2022-03-06,NA,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg156238,36.603301,-120.700806,mgr,WGS84,3,35,Caulanthus lasiophyllus,R.A. Chasey,2022-02-20,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
