id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
mg224227,36.019757,-120.94906,mgr,WGS84,10,295,Centromadia pungens ssp. pungens,Ryan O'Dell,2023-08-28,NA,Monterey,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg219440,36.423499,-120.582112,mgr,WGS84,4,46,Centromadia pungens ssp. pungens,Ryan O'Dell,2023-08-02,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io95300,38.22005,-122.59866,mgr,WGS84,81,20611,Centromadia pungens ssp. pungens,Ramona Robison,2023-06-27,NA,Sonoma,NA,medium,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io95295,38.21988,-122.59712,mgr,WGS84,3,28,Centromadia pungens ssp. pungens,Ramona Robison,2023-06-27,NA,Sonoma,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg204709,35.909228,-120.318162,mgr,WGS84,5,95,Centromadia pungens ssp. pungens,Ryan O'Dell,2023-05-17,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg204701,35.9092,-120.318066,mgr,WGS84,7,146,Centromadia pungens ssp. pungens,Ryan O'Dell,2023-05-17,NA,Fresno,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu30375,35.9858,-119.2124,mgr,WGS84,50,7854,Centromadia pungens,G Froelich,2023-04-02,NA,Tulare,"XQPQ+82 Pixley, CA, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io72107,37.656854,-122.15706,mgr,WGS84,5,78,Centromadia pungens ssp. pungens,Ryan Carle,2022-07-10,NA,Alameda,Located along trail at Hayward Regional Shoreline just north of “Frank’s Dump” area.,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mu26838,37.2144,-120.1978,mgr,WGS84,50,7854,Centromadia pungens ssp. pungens,Steve Matson,2022-04-10,NA,Merced,"6R72+QV Le Grand, CA, USA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg157466,37.838423,-121.623609,mgr,WGS84,5,90,Centromadia pungens ssp. pungens,Cynthia Powell,2022-03-14,NA,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
