ID,Latitude,Longitude,Dataset,Datum,Error Radius (m),Accuracy: Square Meters,Plant,Observer,Date,Source,County,Location Description,Location Quality,Citation
mg198788,39.739185,-121.791837,mgr,WGS84,5,92,Amsinckia menziesii,David popp,2023-04-08,NA,Butte,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po246237,38.015728,-121.795831,mgr,WGS84,4,50,Amsinckia menziesii var. menziesii,Dianne Lake,2023-03-30,NA,Contra Costa,Antioch Dunes: Stamm Unit,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io83440,34.184145,-118.498703,mgr,WGS84,4,50,Amsinckia menziesii,David Strauch,2023-03-12,NA,Los Angeles,"Sepulveda Basin, San Fernando Valley",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io82979,33.637362,-117.825247,mgr,WGS84,4,50,Amsinckia menziesii,Ron Vanderhoff,2023-03-02,NA,Orange,"N of junction Anteater Rd. and Culver Drive, UCI, Irvine",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io82447,33.694163,-117.650108,mgr,WGS84,4,50,Amsinckia menziesii,Ron Vanderhoff,2023-02-19,NA,Orange,"ca 450m N of water tank at base of Water Tank Rd., Whiting Ranch Park",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po244743,33.845231,-117.784495,mgr,WGS84,2,10,Amsinckia menziesii,Julia Markey,2023-02-12,NA,Orange,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io81676,33.707087,-117.655547,mgr,WGS84,4,50,Amsinckia menziesii,Ron Vanderhoff,2023-02-05,NA,Orange,"Bolero Lookout Road, 300 m W of Santiago Cyn. Rd., Whiting Ranch Park",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io81287,33.689705,-117.631687,mgr,WGS84,4,50,Amsinckia menziesii,Ron Vanderhoff,2023-01-29,NA,Orange,"Vulture View Rd., ca 120 m N junct. of Sage Scrub Trail, Whiting Ranch Park",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io81108,33.699292,-117.646278,mgr,WGS84,4,50,Amsinckia menziesii,Ron Vanderhoff,2023-01-22,NA,Orange,"Mustard Road, Whiting Ranch Wilderness Park",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io80402,33.811828,-117.796188,mgr,WGS84,4,50,Amsinckia menziesii,Ron Vanderhoff,2022-12-29,NA,Orange,"Old gravel pit, NW Corner Santiago Cyn. Rd and Cannon St., Orange",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg163928,40.103819,-122.045407,mgr,WGS84,8,222,Amsinckia menziesii,David popp,2022-05-07,NA,Tehama,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
