"ID","Latitude","Longitude","Dataset","Datum","Error Radius (m)","Accuracy: Square Meters","Plant","Observer","Date","Source","County","Location Description","Location Quality","Citation"
"wb2494-187","37.365337","-122.280597","gmd218","WGS84","10","314","Amsinckia menziesii","Slakey","2023-08-04","AECOM","San Mateo","Midpen Preserves along Skyline Boulevard, including La Honda Creek, Thornewood, Coal Canyon, Russian Ridge, and Skyline Ridge","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po252204","38.727205","-121.482283","mgr","WGS84","","","Amsinckia menziesii","Brit Barnes","2023-05-07","","Sacramento","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po247883","34.68001","-120.471803","mgr","WGS84","","","Amsinckia menziesii","Adonis Tate","2023-05-05","","Santa Barbara","Grassy fields S of Vandenberg Village","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po247368","36.268686","-118.99116","mgr","WGS84","","","Amsinckia menziesii","Maya Asso","2023-04-29","Porterville College Biology P136","Tulare","At Yokohl Drive.","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mu32380","36.4152","-119.0283","mgr","WGS84","","","Amsinckia menziesii","Buffy Conrad","2023-04-24","","Tulare","CX8C+3M Lemon Cove, CA, USA","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po247766","36.44979","-119.1026","mgr","WGS84","","","Amsinckia menziesii","Edward Cruz Arcos","2023-04-22","Porterville College Biology P136","Tulare","River","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po247660","37.579731","-122.446153","mgr","WGS84","","","Amsinckia menziesii","Diana Wahl","2023-04-17","","San Mateo","Crystal Springs Watershed Fifield Ridge","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mu30632","39.7958","-121.73","mgr","WGS84","50","7854","Amsinckia menziesii","Alaine Arslan","2023-04-13","","Butte","Annie Bidwell Trail, Upper Bidwell Park, Chico, CA 95928, USA","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg199700","38.851015","-121.222089","mgr","WGS84","14","582","Amsinckia menziesii","David popp","2023-04-13","","Placer","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mu31141","36.0568","-119.0286","mgr","WGS84","","","Amsinckia menziesii","Leovardo Rincon","2023-04-13","Porterville College Biology P136","Tulare","3X4C+JJ Tule River Parkway, Porterville, CA 93257, USA","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg198788","39.739185","-121.791837","mgr","WGS84","5","92","Amsinckia menziesii","David popp","2023-04-08","","Butte","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mu30429","37.8721","-122.0396","mgr","WGS84","","","Amsinckia menziesii","Andy Ford","2023-04-05","","Contra Costa","VXC6+R5 Walnut Creek, CA, USA","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg197891","40.105114","-122.040953","mgr","WGS84","148","68549","Amsinckia menziesii","David popp","2023-04-01","","Tehama","","medium","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po246237","38.015728","-121.795831","mgr","WGS84","4","50","Amsinckia menziesii var. menziesii","Dianne Lake","2023-03-30","","Contra Costa","Antioch Dunes: Stamm Unit","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po245706","37.40882","-122.238","mgr","WGS84","10","314","Amsinckia menziesii","John Rawlings","2023-03-19","Jasper Ridge Biological Preserve (JRBP/JROH)","San Mateo","Jasper Ridge Biological Preserve, Stanford University ; Road C","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io83440","34.184145","-118.498703","mgr","WGS84","4","50","Amsinckia menziesii","David Strauch","2023-03-12","","Los Angeles","Sepulveda Basin, San Fernando Valley","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io82979","33.637362","-117.825247","mgr","WGS84","4","50","Amsinckia menziesii","Ron Vanderhoff","2023-03-02","","Orange","N of junction Anteater Rd. and Culver Drive, UCI, Irvine","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
