"ID","Latitude","Longitude","Dataset","Datum","Error Radius (m)","Accuracy: Square Meters","Plant","Observer","Date","Source","County","Location Description","Location Quality","Citation"
"mg198191","32.863378","-116.219379","mgr","WGS84","4","47","Atriplex polycarpa","Ryan O'Dell","2023-04-01","","San Diego","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg198187","33.138711","-116.375782","mgr","WGS84","6","114","Atriplex polycarpa","Ryan O'Dell","2023-04-01","","San Diego","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg198084","35.318154","-118.093608","mgr","WGS84","5","89","Atriplex polycarpa","Ryan O'Dell","2023-03-30","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191353","36.435207","-120.553028","mgr","WGS84","5","77","Atriplex polycarpa","Ryan O'Dell","2023-02-20","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191351","36.435132","-120.546829","mgr","WGS84","7","154","Atriplex polycarpa","Ryan O'Dell","2023-02-20","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191343","36.443453","-120.536472","mgr","WGS84","5","75","Atriplex polycarpa","Ryan O'Dell","2023-02-20","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191309","36.447241","-120.51111","mgr","WGS84","5","69","Atriplex polycarpa","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191239","36.457743","-120.496415","mgr","WGS84","5","65","Atriplex polycarpa","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191221","36.4621","-120.498516","mgr","WGS84","8","222","Atriplex polycarpa","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191220","36.462367","-120.498815","mgr","WGS84","5","73","Atriplex polycarpa","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191158","36.464871","-120.505694","mgr","WGS84","8","192","Atriplex polycarpa","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191154","36.465043","-120.50653","mgr","WGS84","4","50","Atriplex polycarpa","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg191118","36.472361","-120.517166","mgr","WGS84","4","47","Atriplex polycarpa","Ryan O'Dell","2023-02-19","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po244412","36.051619","-120.37967","mgr","WGS84","","","Atriplex polycarpa","Ryan O'Dell","2023-02-13","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
