"ID","Latitude","Longitude","Dataset","Datum","Error Radius (m)","Accuracy: Square Meters","Plant","Observer","Date","Source","County","Location Description","Location Quality","Citation"
"po253007","35.985983","-121.020907","mgr","WGS84","","","Caulanthus lasiophyllus","Ryan O'Dell","2023-09-01","","Monterey","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg221296","37.897741","-121.934804","mgr","WGS84","15","712","Caulanthus lasiophyllus","Ryan O'Dell","2023-08-13","","Contra Costa","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg221295","37.896813","-121.93277","mgr","WGS84","4","55","Caulanthus lasiophyllus","Ryan O'Dell","2023-08-13","","Contra Costa","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg214583","37.911447","-122.494365","mgr","WGS84","23","1666","Caulanthus lasiophyllus","Amanda Magallanes","2023-07-10","Marin County Parks data pro","Marin","RING MOUNTAIN","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg210299","40.365502","-122.862388","mgr","WGS84","8","199","Caulanthus lasiophyllus","Ryan O'Dell","2023-06-16","","Shasta","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg210295","40.365113","-122.86268","mgr","WGS84","4","45","Caulanthus lasiophyllus","Ryan O'Dell","2023-06-16","","Shasta","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg210293","40.364915","-122.862803","mgr","WGS84","4","56","Caulanthus lasiophyllus","Ryan O'Dell","2023-06-16","","Shasta","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg210291","40.364607","-122.862776","mgr","WGS84","28","2440","Caulanthus lasiophyllus","Ryan O'Dell","2023-06-16","","Shasta","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io90257","","","mgr","WGS84","2821","25000000","Caulanthus lasiophyllus","Keir Morse","2023-05-16","","Los Angeles","","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po247768","36.13618","-119.06415","mgr","WGS84","","","Guillenia lasiophylla","Edward Cruz Arcos","2023-04-22","Porterville College Biology P136","Tulare","River","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
