"ID","Latitude","Longitude","Dataset","Datum","Error Radius (m)","Accuracy: Square Meters","Plant","Observer","Date","Source","County","Location Description","Location Quality","Citation"
"po248642","35.728348","-119.735365","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248643","35.729937","-119.736282","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248644","35.73116","-119.736573","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248645","35.731069","-119.735141","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248646","35.731346","-119.733384","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248647","35.730556","-119.73197","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248648","35.731379","-119.730679","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248649","35.730485","-119.729271","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248650","35.731508","-119.728332","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248651","35.7305","-119.727144","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248652","35.731454","-119.726023","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248653","35.730176","-119.724257","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248654","35.731358","-119.723014","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248655","35.730319","-119.721564","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248656","35.731382","-119.720114","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248657","35.730257","-119.719352","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248658","35.731481","-119.718863","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248659","35.730308","-119.717622","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248660","35.731601","-119.717241","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248661","35.731639","-119.71601","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248662","35.731609","-119.714162","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248663","35.731596","-119.71199","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248664","35.731707","-119.710076","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248665","35.730005","-119.722795","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248666","35.730155","-119.718683","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po248667","35.729216","-119.720242","mgr","WGS84","","","Layia pentachaeta ssp. albida","Ryan O'Dell","2023-05-16","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
