ID,Latitude,Longitude,Dataset,Datum,Error Radius (m),Accuracy: Square Meters,Plant,Observer,Date,Source,County,Location Description,Location Quality,Citation
mg200265,35.905231,-120.216228,mgr,WGS84,9,275,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-04-12,NA,Kings,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg200263,35.905223,-120.216234,mgr,WGS84,7,153,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-04-12,NA,Kings,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg200251,35.903819,-120.213543,mgr,WGS84,14,592,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-04-12,NA,Kings,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg198014,35.731737,-119.731361,mgr,WGS84,55,9518,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-03-29,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg197337,35.637921,-119.579348,mgr,WGS84,4,47,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-03-25,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg197334,35.639648,-119.57856,mgr,WGS84,4,45,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-03-25,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg197304,35.61758,-119.683204,mgr,WGS84,11,393,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-03-25,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg197303,35.617229,-119.682603,mgr,WGS84,8,206,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-03-25,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg197301,35.616974,-119.683127,mgr,WGS84,16,770,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-03-25,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg197293,35.619721,-119.657466,mgr,WGS84,8,204,Layia pentachaeta ssp. albida,Ryan O'Dell,2023-03-25,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb1194-1882,35.63737,-119.57836,online,WGS84,20,1200,Layia pentachaeta ssp. albida,Brian and Eileen Keelan,2010-04-03,NA,Kern,"Paine Wildflower Preserve -- E of Corcoran Rd, Semitropic",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
