"ID","Latitude","Longitude","Dataset","Datum","Error Radius (m)","Accuracy: Square Meters","Plant","Observer","Date","Source","County","Location Description","Location Quality","Citation"
"io90218","","","mgr","WGS84","2821","25000000","Peritoma arborea","Keir Morse","2023-05-18","","Ventura","","low","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io88322","33.540953","-117.549463","mgr","WGS84","4","50","Peritoma arborea var. arborea","Ron Vanderhoff","2023-05-07","","Orange","San Juan Trail, 300-400m N Ortega Flats Campground, Ronald W, Caspers Wilderness Park","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io87673","33.990647","-120.048019","mgr","WGS84","4","50","Peritoma arborea","David Strauch","2023-04-30","","Santa Barbara","Water Canyon CG, Santa Rosa Island, Channel Islands NP","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io87256","34.44876","-119.68116","mgr","WGS84","5","78","Peritoma arborea var. arborea","Keir Morse","2023-04-27","","Santa Barbara","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg200984","36.708258","-120.810246","mgr","WGS84","11","407","Peritoma arborea var. globosa","R.A. Chasey","2023-04-23","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mu32644","35.2669","-119.8353","mgr","WGS84","","","Peritoma arborea","Sue Luft","2023-04-18","","San Luis Obispo","85727587+QV","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg198257","34.044606","-116.567289","mgr","WGS84","9","236","Peritoma arborea","Ryan O'Dell","2023-04-02","","San Bernardino","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg198041","35.364073","-117.975829","mgr","WGS84","6","121","Peritoma arborea var. globosa","Ryan O'Dell","2023-03-30","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg198025","35.545454","-118.958794","mgr","WGS84","9","245","Peritoma arborea var. globosa","Ryan O'Dell","2023-03-29","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io80448","33.70987","-117.618378","mgr","WGS84","4","50","Peritoma arborea","Ron Vanderhoff","2022-12-31","","Orange","Tucker Wildlife Sanctuary","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mu26993","34.166558","-119.041326","mgr","WGS84","8","201","Peritoma arborea","Steven M Norris","2022-12-18","","Ventura","CSUCI campus, north face of hill to north of Sage Hall, among large jumble of boulders.","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io78118","36.62373","-120.660123","mgr","WGS84","","","Peritoma arborea var. globosa","Mike Russler","2022-11-03","","Fresno","Panoche Road","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
