id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
po247845,35.707402,-117.893768,mgr,WGS84,5,79,Peritoma arborea var. arborea,Richard Spjut,2019-03-28,World Botanical Associates/CNPS Kern Chapter (field trip),Kern,"Western Mojave Desert, Southern Sierra Nevada: Short Canyon, road crossing large sandy wash dominated by bladderpod and other shrubs. Ericameria linearifolia-Cleome isomeris shurbland alliance recognized by the CNPS vegetation group, but no vegetation assessment made at this site.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
JEPS108704,34.011112,-116.51889,cch2,WGS84,100,31415,Isomeris arborea,"C. Spurrier, M. J. Way",2001-06-06,UC/JEPS,Riverside,"Big Morongo Canyon Preserve, 2.3 km n of water company entrance on Kickapoo Trail",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
IRVC26210,34.41333,-118.67583,cch2,WGS84,99,30790,Isomeris arborea,A.C. Sanders,2003-06-19,UCI,Los Angeles,"hills west of San Martinez Grande Canyon, north of Hwy 126, Newhall Ranch",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
csusb92199,34.410831,-117.422,cch2,WGS84,100,31415,Isomeris arborea,Julie Hays,2009-04-28,CSU San Bernardino,San Bernardino,"Oak Hills, 8838 Lilac Road; on slope next to driveway",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
1233025,36.785433,-120.799117,cch2,WGS84,100,31415,Isomeris arborea,A. C. Sanders,2010-01-13,Cal BG,Fresno,"Little Panoche Road, 4.4 miles west of I-5, north of Little Panoche Reservoir; Laguna Seca Ranch 7.5'",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SD175809,33.39583,-117.59194,cch2,WGS84,80,20106,Peritoma arborea,D. G. Kelch,2006-12-09,SDNHM,San Diego,Along Christianitos Road at El Camino Real.,medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
RSA0200427,34.31408,-114.7757,cch2,WGS84,5,78,Peritoma arborea var. angustata,Sarah J. De Groot,2018-10-30,Cal BG,San Bernardino,"BLMTurtle Mountains Wilderness: Mopah Spring. Ca. 3.4 air miles west-southwest of NS 634, ca. 4.4 road miles west of Highway 95 on NS 634, ca. 0.7 air miles west-northwest of Mopah Peak 1076T.; Mopah Peaks 7.5' quad. San Bernardino meridian",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SFV105308,35.318,-118.08,cch2,WGS84,100,31415,Peritoma arborea var. angustata,T. S. Griffith,2012-03-16,CSU Northridge,Kern,"Sierra Nevada; Jawbone Canyon Road, 7.9 km west of Highway 14.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SD148403,32.73361,-117.13056,cch2,WGS84,80,20106,Peritoma arborea var. arborea,Jon Rebman,2000-03-17,SDNHM,San Diego,"San Diego Urban Canyons, North Park area: Switzer Canyon",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
SD148405,32.7225,-117.1175,cch2,WGS84,80,20106,Peritoma arborea var. arborea,Jon Rebman,1999-12-17,SDNHM,San Diego,"San Diego Urban Canyons, North Park/GoldenHill: Near Cedar Ridge Park at end of Pentuckett; surr. canyons, streambed with water along I-15",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
