"ID","Latitude","Longitude","Dataset","Datum","Error Radius (m)","Accuracy: Square Meters","Plant","Observer","Date","Source","County","Location Description","Location Quality","Citation"
"mg209854","36.326672","-120.719296","mgr","WGS84","7","168","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-06-14","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg204845","36.297544","-120.678728","mgr","WGS84","4","48","Phacelia ciliata","Ryan O'Dell","2023-05-18","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg200863","36.477835","-120.758419","mgr","WGS84","4","47","Phacelia ciliata","Ryan O'Dell","2023-04-20","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg200629","36.302181","-120.703513","mgr","WGS84","6","103","Phacelia ciliata","Ryan O'Dell","2023-04-18","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg200409","35.231745","-119.728815","mgr","WGS84","4","57","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-04-16","","San Luis Obispo","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg198897","37.956238","-121.874798","mgr","WGS84","4","55","Phacelia ciliata","R.A. Chasey","2023-04-09","","Contra Costa","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mu32636","35.1921","-119.8367","mgr","WGS84","","","Phacelia ciliata","Sue Luft","2023-04-04","","San Luis Obispo","857255R7+R8","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mu30333","35.2387","-119.739","mgr","WGS84","50","7854","Phacelia ciliata var. ciliata","Alaine Arslan","2023-04-03","","San Luis Obispo","Carrizo Plains, CA, USA","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg197565","36.53606","-120.573206","mgr","WGS84","5","86","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-03-27","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io84472","36.53612","-120.573133","mgr","WGS84","4","50","Phacelia ciliata var. ciliata","Jacob Smith","2023-03-27","","Fresno","In clay at top of ridge west of Monocline Ridge and east of Ciervo Hills, San Joaquin Desert, Fresno County, California.","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
