id,lat,lon,date,year,month,source
4407241607,33.843823,-117.241232,2023-06-06,2023,6,gbif
4405407637,37.436303,-121.957397,2023-08-24,2023,8,gbif
4404982206,33.816667,-117,2006-06-28,2006,6,gbif
4404866390,33.8456099,-117.1212623,2003-05-08,2003,5,gbif
4400242440,37.181818,-120.795356,2023-07-16,2023,7,gbif
4177349496,37.553642,-122.088919,2023-08-09,2023,8,gbif
4177095970,37.439145,-121.959125,2023-07-26,2023,7,gbif
4177055972,38.124384,-122.473218,2023-07-16,2023,7,gbif
4177022799,38.18735,-122.600913,2023-08-02,2023,8,gbif
4177020928,38.04102,-121.96899,2023-08-01,2023,8,gbif
4171871342,33.696422,-117.125354,2018-07-15,2018,7,gbif
4171574449,38.008786,-121.727767,2023-07-25,2023,7,gbif
4165586124,34.417625,-119.879212,2023-07-23,2023,7,gbif
4162121506,37.718333,-121.741944,2023-05-26,2023,5,gbif
4162098524,37.863163,-121.704597,2023-05-27,2023,5,gbif
4162034888,38.207094,-122.024728,2023-07-10,2023,7,gbif
4154148303,33.77556,-117.26083,2011-07-08,2011,7,gbif
4153415018,37.614463,-122.097751,2023-07-07,2023,7,gbif
4145179151,37.429199,-121.979073,2023-06-28,2023,6,gbif
4137778796,38.119419,-122.474861,2023-06-14,2023,6,gbif
4125812309,38.571276,-121.744241,2023-05-04,2023,5,gbif
4111673301,38.748463,-121.637238,2014-09-20,2014,9,gbif
4111588613,37.485997,-121.972708,2023-04-29,2023,4,gbif
4103235643,37.486039,-121.972709,2023-04-29,2023,4,gbif
4097004703,37.725738,-121.63887,2023-04-24,2023,4,gbif
4096819741,36.208602,-119.199819,2023-04-18,2023,4,gbif
4096807850,35.333404,-119.362696,2023-04-05,2023,4,gbif
4091393479,37.936497,-121.993325,2023-04-16,2023,4,gbif
4079080513,37.2968,-120.7377,2017-02-04,2017,2,gbif
4079079265,37.163187,-120.422724,2017-04-18,2017,4,gbif
4079075717,37.281682000000004,-120.724358,2017-04-13,2017,4,gbif
4068984424,39.157175,-122.148172,2012-03-28,2012,3,gbif
4046687076,33.965622,-117.074456,2019-06-07,2019,6,gbif
4028737093,36.209268,-119.200309,2022-11-30,2022,11,gbif
3966547313,38.359633,-121.500497,2019-06-27,2019,6,gbif
3966522446,38.445545,-121.484245,2022-05-21,2022,5,gbif
3963689456,36.785597,-121.753708,2022-05-24,2022,5,gbif
3912099364,36.33265,-119.168878,2020-04-15,2020,4,gbif
3902893126,37.648251,-122.144911,2022-08-12,2022,8,gbif
3902812721,37.656729,-122.157137,2022-08-20,2022,8,gbif
3902765626,37.718758,-121.737655,2022-08-21,2022,8,gbif
3902403977,35.201839,-119.857689,2022-08-11,2022,8,gbif
3902371318,38.439691,-121.492272,2022-06-04,2022,6,gbif
3902255347,38.039483,-121.963722,2022-06-06,2022,6,gbif
3902151631,38.040052,-121.963407,2021-07-22,2021,7,gbif
3888886645,37.48402,-122.131789,2022-08-02,2022,8,gbif
3873864664,38.563415,-121.63483,2022-07-15,2022,7,gbif
3873241734,37.408488,-121.409157,2022-07-14,2022,7,gbif
3859779940,37.491496,-122.167971,2022-06-16,2022,6,gbif
3859562160,38.206365,-122.02471,2022-06-17,2022,6,gbif
3859371191,37.724852,-121.74696,2022-05-21,2022,5,gbif
3859068827,37.7017,-122.405695,2021-10-02,2021,10,gbif
3858820618,36.889595,-119.633981,2022-06-21,2022,6,gbif
3799636305,35.034444,-119.683333,2005-05-10,2005,5,gbif
3760631084,36.195953,-119.194647,2022-03-24,2022,3,gbif
3759848299,35.061646,-118.736498,2014-06-08,2014,6,gbif
3759801803,33.700835,-117.14118,2020-06-21,2020,6,gbif
3759763553,35.72257,-118.380555,2022-04-16,2022,4,gbif
3759508851,35.267288,-119.228359,2022-03-18,2022,3,gbif
3759179757,35.750975,-120.296186,2021-10-16,2021,10,gbif
3759166756,37.554058,-122.091111,2021-11-08,2021,11,gbif
3759147747,38.229724,-122.597376,2021-10-29,2021,10,gbif
3759125740,37.572457,-121.170896,2021-11-23,2021,11,gbif
3759064259,37.720963,-121.738434,2022-03-28,2022,3,gbif
3747238772,35.934069,-119.855347,2022-03-23,2022,3,gbif
3743081032,37.838467,-121.623528,2022-03-14,2022,3,gbif
3503205059,33.7975,-117.00694,2009-09-24,2009,9,gbif
3503201411,33.51467,-117.16833,2012-08-11,2012,8,gbif
3456499315,36.713239,-121.295692,2021-08-22,2021,8,gbif
3399322269,35.730344,-120.28815,2021-10-16,2021,10,gbif
3399100303,38.021363,-121.836576,2015-07-13,2015,7,gbif
3399088320,37.64891,-122.154493,2016-08-11,2016,8,gbif
3398903352,37.896717,-121.996715,2017-08-18,2017,8,gbif
3391660365,37.651145,-122.155484,2020-07-09,2020,7,gbif
3391514491,37.40122,-121.491441,2021-08-03,2021,8,gbif
3384788472,37.958972,-122.425217,2021-09-18,2021,9,gbif
3383957722,36.332205,-119.169783,2021-05-19,2021,5,gbif
3357559307,33.83778,-117.21333,2021-06-14,2021,6,gbif
3355117331,35.476139,-120.328644,2019-05-15,2019,5,gbif
3314506597,35.688936,-120.215486,2021-05-20,2021,5,gbif
3301995732,36.332812,-119.168628,2021-05-21,2021,5,gbif
3125165004,33.75278,-117.0375,2005-07-27,2005,7,gbif
3125163001,37.32694,-121.10833,2012-08-22,2012,8,gbif
3125162028,33.6782,-117.221,2004-05-27,2004,5,gbif
3125161030,33.75333,-117.02417,2012-07-23,2012,7,gbif
3125161029,33.86667,-117.21667,2008-08-20,2008,8,gbif
3125160031,33.95972,-117.06944,2012-04-20,2012,4,gbif
3125160030,33.4743,-117.13902,2007-05-19,2007,5,gbif
3125139387,33.29426,-117.34991,2018-05-10,2018,5,gbif
3125039017,33.27472,-117.46333,2001-05-30,2001,5,gbif
3125039015,33.87,-117.05,2001-04-27,2001,4,gbif
3125038011,33.86778,-117.23583000000001,2011-08-09,2011,8,gbif
3125035999,33.63694,-117.29194,2017-03-29,2017,3,gbif
3125035024,34.81229,-118.15562,2010-05-18,2010,5,gbif
3125035022,33.26444,-117.37194,2000-10-23,2000,10,gbif
3125034002,33.625,-117.3,2003-05-29,2003,5,gbif
3125033023,33.97389,-117.09417,2012-07-09,2012,7,gbif
3125033022,32.5969,-116.5525,2005-07-10,2005,7,gbif
3125031996,33.68833,-117.2075,2017-04-19,2017,4,gbif
3125031994,35.22917,-119.25,2001-04-27,2001,4,gbif
3125030014,33.58361,-117.25083,2010-06-10,2010,6,gbif
3059689328,37.5386,-121.2714,2011-10-04,2011,10,gbif
3059689323,36.6714,-119.7308,2003-10-11,2003,10,gbif
3059689316,38.0177,-122.1476,2010-10-29,2010,10,gbif
3059683708,37.1854,-120.3976,2008-08-21,2008,8,gbif
3059677264,37.8189,-121.6231,2007-05-01,2007,5,gbif
3059677256,38.67,-120.969,2013-09-09,2013,9,gbif
3059677253,38.2281,-121.9314,2003-07-20,2003,7,gbif
3053458173,39.275556,-121.765556,2007-07-07,2007,7,gbif
3053375886,36.4715,-120.5177,2017-03-22,2017,3,gbif
3053340725,35.63735,-119.57931,2011-04-21,2011,4,gbif
3051825316,33.97161,-117.08419,2015-07-03,2015,7,gbif
2992882372,36.373055,-120.992553,2019-04-07,2019,4,gbif
2992707303,36.41554,-120.597525,2016-08-28,2016,8,gbif
2898276005,37.719423,-121.735495,2020-10-12,2020,10,gbif
2860188941,38.131958,-121.884897,2020-08-27,2020,8,gbif
2850561579,34.806801,-118.155644,2020-05-25,2020,5,gbif
2826420611,37.476451,-122.121192,2020-07-09,2020,7,gbif
2826176605,37.476143,-122.121756,2020-07-09,2020,7,gbif
2802974105,37.723483,-121.735272,2020-06-20,2020,6,gbif
2641324313,38.12632,-122.476358,2018-01-02,2018,1,gbif
2634259399,33.928812,-117.311562,2019-05-27,2019,5,gbif
2611124725,37.747208,-121.710145,2020-04-25,2020,4,gbif
2596112060,35.204036,-119.85281,2019-08-08,2019,8,gbif
2580215803,36.208745,-119.205637,2020-03-14,2020,3,gbif
2580120088,35.983178,-119.210572,2020-03-12,2020,3,gbif
2465127204,36.332183,-119.177545,2019-09-23,2019,9,gbif
2459175205,35.844635,-120.202902,2018-05-10,2018,5,gbif
2459169134,36.937686,-121.624081,2013-06-14,2013,6,gbif
2459168077,36.9085,-121.608,2004-07-11,2004,7,gbif
2451558373,37.427128,-122.060778,2013-08-16,2013,8,gbif
2451557906,37.432739,-122.074006,2013-08-16,2013,8,gbif
2451555977,37.25913,-121.844827,2013-09-13,2013,9,gbif
2430546705,33.516667,-117.166667,2009-08-10,2009,8,gbif
2430510791,33.744967,-117.041324,2005-07-19,2005,7,gbif
2430510183,33.961534,-117.509764,2004-08-27,2004,8,gbif
2430481584,33.657439,-117.300268,2003-05-27,2003,5,gbif
2430385478,33.721542,-117.042648,2005-07-19,2005,7,gbif
2430374518,33.525,-117.175,2008-11-05,2008,11,gbif
2430358187,33.909861,-117.244056,2010-06-17,2010,6,gbif
2430344129,33.783333,-117.208333,2008-06-26,2008,6,gbif
2430287233,35.383073,-119.095109,2008-03-27,2008,3,gbif
2430284752,35.399983,-119.407383,2013-03-21,2013,3,gbif
2430241253,41.1941,-121.004172,2013-07-25,2013,7,gbif
2430227769,35.655278,-118.357778,2009-05-17,2009,5,gbif
2430218145,33.864444,-117.085972,2005-07-13,2005,7,gbif
2430191205,33.73071,-117.044569,2005-07-19,2005,7,gbif
2430172117,33.75,-117.033333,2003-04-09,2003,4,gbif
2430165034,33.962972,-117.072611,2010-09-08,2010,9,gbif
2430137739,35.241167,-119.250167,2001-04-27,2001,4,gbif
2430117114,32.841389,-116.981111,2006-09-26,2006,9,gbif
2430117049,33.483333,-117.141667,2008-09-19,2008,9,gbif
2430056484,35.35,-119.15,2003-11-25,2003,11,gbif
2422536112,34.31261,-117.43811,2017-11-13,2017,11,gbif
2422535335,35.32222,-119.36417,2004-04-03,2004,4,gbif
2422530929,33.69111,-116.98083,2016-05-19,2016,5,gbif
2422528706,33.79861,-117.02361,2006-04-21,2006,4,gbif
2422528361,33.74583,-117.03889,2006-05-31,2006,5,gbif
2422527831,33.69917,-117.07694,2006-08-10,2006,8,gbif
2422527702,33.59833,-117.14167,2012-05-21,2012,5,gbif
2422527536,33.66281,-117.30319,2018-05-03,2018,5,gbif
2422526467,33.52472,-117.17111,2005-04-07,2005,4,gbif
2422526181,33.81667,-117.0125,2005-05-16,2005,5,gbif
2422524806,33.53639,-117.17417,2005-04-07,2005,4,gbif
2422524766,33.855,-117.12306,2004-05-06,2004,5,gbif
2422524674,33.60333,-117.11472,2011-06-14,2011,6,gbif
2422524366,33.68361,-117.33931,2018-06-12,2018,6,gbif
2422523863,33.84167,-117.13333,2005-04-08,2005,4,gbif
2422519531,33.70786,-117.04514,2017-05-18,2017,5,gbif
2422518997,33.9195,-117.28481,2012-06-25,2012,6,gbif
2422518496,33.67144,-117.17628,2016-04-24,2016,4,gbif
2422515476,33.51261,-117.16561,2012-05-02,2012,5,gbif
2422512252,35.75989,-118.91831,2015-08-10,2015,8,gbif
2422510182,33.52417,-117.17667,2005-06-28,2005,6,gbif
2422510025,33.52694,-117.1725,2005-05-24,2005,5,gbif
2422509168,33.54114,-117.1725,2005-06-28,2005,6,gbif
2422509038,33.68603,-117.11792,2015-04-06,2015,4,gbif
2422508898,33.79833,-117.00528,2005-05-16,2005,5,gbif
2422508663,33.77183,-117.03428,2009-09-24,2009,9,gbif
2422508061,36.21528,-119.21611,2015-10-28,2015,10,gbif
2422507196,33.77278,-117.03333,2006-06-27,2006,6,gbif
2422506927,33.71111,-117.04583,2006-06-14,2006,6,gbif
2422505693,34.72222,-118.13518,2014-05-04,2014,5,gbif
2422505203,33.96917,-117.07556,2011-06-06,2011,6,gbif
2422504429,33.91543,-117.25675,2015-03-25,2015,3,gbif
2422502585,33.69065,-117.34663,2015-05-18,2015,5,gbif
2422501779,33.82,-117.02278,2015-02-19,2015,2,gbif
