id,lat,lon,date,year,month,source
4171334734,35.760049,-119.58114,2023-04-17,2023,4,gbif
4129891541,35.349695,-119.816718,2023-04-15,2023,4,gbif
4129885574,35.11402,-119.600695,2023-04-16,2023,4,gbif
4129870531,35.032268,-119.46611,2023-03-13,2023,3,gbif
4129742495,35.542605,-119.580658,2023-04-12,2023,4,gbif
4111902584,35.291958,-119.636839,2023-04-29,2023,4,gbif
4102691536,35.333404,-119.362696,2023-04-05,2023,4,gbif
4102681536,35.296387,-119.625947,2023-04-09,2023,4,gbif
4102640508,35.266247,-119.312347,2023-04-03,2023,4,gbif
4096627746,35.446855,-118.787381,2023-04-09,2023,4,gbif
4080932800,35.098932,-119.395185,2023-04-05,2023,4,gbif
4080676976,35.682055,-119.68992,2023-04-06,2023,4,gbif
4080660589,35.320312,-119.684378,2023-03-25,2023,3,gbif
4080552658,35.317674,-119.361098,2023-04-04,2023,4,gbif
4080501565,35.35435,-119.349226,2023-03-26,2023,3,gbif
4076196889,35.354708,-119.34813,2023-04-03,2023,4,gbif
4075656920,35.734378,-119.741761,2023-03-15,2023,3,gbif
4067373823,35.369342,-119.646643,2023-03-12,2023,3,gbif
4063066361,35.408436,-119.40715,2023-03-12,2023,3,gbif
4062839667,35.605545,-119.575702,2023-03-07,2023,3,gbif
4062577145,35.2396,-119.311883,2023-03-08,2023,3,gbif
4062555604,35.305586,-118.800169,2023-03-05,2023,3,gbif
4054996946,35.76014,-119.760747,2023-03-02,2023,3,gbif
3986020304,35.355135,-119.331806,2016-02-28,2016,2,gbif
3764112441,35.444795,-118.790275,2022-03-31,2022,3,gbif
3743330788,35.440879,-118.793919,2022-03-12,2022,3,gbif
3698371584,35.616735,-119.646541,2022-02-19,2022,2,gbif
3461012069,34.93007,-119.27067,2018-03-31,2018,3,gbif
3415846631,35.449715,-118.782662,2021-04-01,2021,4,gbif
3415761541,35.345778,-119.817662,2021-04-21,2021,4,gbif
3415367306,35.616254,-119.598291,2016-03-10,2016,3,gbif
2580134158,35.040977,-119.559792,2020-03-07,2020,3,gbif
2563449193,35.50025,-119.538515,2016-03-02,2016,3,gbif
2563441860,35.34137,-119.35942,2019-04-15,2019,4,gbif
2563440930,35.044934,-119.636652,2019-04-01,2019,4,gbif
2563440558,35.376063,-119.645417,2019-03-26,2019,3,gbif
2563440387,35.291225,-119.626862,2019-03-23,2019,3,gbif
2430557968,34.962111,-119.352889,2009-04-14,2009,4,gbif
2430551846,35.399983,-119.407383,2013-03-21,2013,3,gbif
2430528030,34.95954,-119.3489,2010-04-27,2010,4,gbif
2430326333,35.003660000000004,-118.68117,2014-03-20,2014,3,gbif
2430292565,34.94695,-119.40093,2009-03-30,2009,3,gbif
2430269578,34.945306,-119.388806,2009-04-17,2009,4,gbif
2430266373,34.95453,-119.35027,2009-04-14,2009,4,gbif
2430212494,35.392156,-119.661419,2013-03-14,2013,3,gbif
2430136418,34.9475,-119.4012,2011-04-24,2011,4,gbif
2422535898,35.32222,-119.36417,2004-03-14,2004,3,gbif
2421771841,38.761944,-120.843333,2010-05-15,2010,5,gbif
2270197435,35.390333,-119.545667,2005-03-25,2005,3,gbif
2270196130,35.453041,-120.341494,2012-03-03,2012,3,gbif
2270195424,35.933889,-119.9,2001-03-20,2001,3,gbif
1805365668,35.833438,-119.815553,2016-03-07,2016,3,gbif
mg200265,35.905231,-120.216228,2023-04-12,2023,4,calflora
mg200251,35.903819,-120.213543,2023-04-12,2023,4,calflora
mg198014,35.731737,-119.731361,2023-03-29,2023,3,calflora
mg197337,35.637921,-119.579348,2023-03-25,2023,3,calflora
mg197334,35.639648,-119.57856,2023-03-25,2023,3,calflora
mg197304,35.61758,-119.683204,2023-03-25,2023,3,calflora
mg197301,35.616974,-119.683127,2023-03-25,2023,3,calflora
mg197293,35.619721,-119.657466,2023-03-25,2023,3,calflora
83289,35.3987237228375,-119.532961801513,2010-03-27,2010,3,vegbank
83291,35.379186890648,-119.560911556654,2010-03-27,2010,3,vegbank
83325,35.3765245803879,-119.563611828372,2010-03-27,2010,3,vegbank
83326,35.3765699140039,-119.565297137906,2010-03-27,2010,3,vegbank
83327,35.3539706531457,-119.600351230786,2010-03-27,2010,3,vegbank
83328,35.3991412955761,-119.571197517841,2010-03-27,2010,3,vegbank
83329,35.4249880549983,-119.572272475907,2010-03-27,2010,3,vegbank
83745,35.46909,-119.40479,2005-04-05,2005,4,vegbank
