gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
910497469,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/673619,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.796363,-122.479218,5,NA,NA,NA,NA,NA,2014-05-11T17:02:38Z,11,5,2014,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,673619,,Scott Loarie,2014-05-12T07:11:13Z,CC0_1_0,Scott Loarie,Scott Loarie,,,2023-09-13T17:22:24Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
910497159,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/672841,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,intermedia,VARIETY,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Amsinckia menziesii intermedia,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.188808,-121.550163,NA,NA,NA,NA,NA,NA,2014-05-11T11:48:42Z,11,5,2014,4273336,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,672841,,Donna Pomeroy,2018-08-21T08:06:28Z,CC_BY_NC_4_0,Liam O'Brien,Liam O'Brien,,,2023-09-13T17:22:25Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
899971839,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/635079,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.912658,-122.268647,NA,NA,NA,NA,NA,NA,2014-04-20T15:00:14Z,20,4,2014,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,635079,,Liam O'Brien,2014-04-21T01:53:45Z,CC_BY_NC_4_0,Liam O'Brien,Liam O'Brien,,,2023-09-13T17:23:39Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
899968512,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/625993,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.075342,-122.513315,NA,NA,NA,NA,NA,NA,2014-04-13T10:38:00Z,13,4,2014,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,625993,,Brian Martin,2014-04-15T17:42:25Z,CC_BY_NC_4_0,charlie dubbe,charlie dubbe,,,2023-09-13T17:21:58Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
899966297,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/620119,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.648094,-120.156643,50,NA,NA,NA,NA,NA,2014-04-05T11:10:41Z,5,4,2014,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,620119,,"Lynn Watson, Santa Barbara",2014-04-12T03:19:01Z,CC_BY_NC_4_0,"Lynn Watson, Santa Barbara","Lynn Watson, Santa Barbara",,,2023-09-13T17:02:04Z,,CONTINENT_DERIVED_FROM_COORDINATES
899965503,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/618211,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.916283,-121.947139,5,NA,NA,NA,NA,NA,2014-04-10T10:25:04Z,10,4,2014,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,618211,,Leslie Flint,2014-04-10T20:43:57Z,CC_BY_NC_4_0,Leslie Flint,Leslie Flint,,,2023-09-13T17:22:59Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
899963115,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/610844,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.88723,-121.717812,NA,NA,NA,NA,NA,NA,2014-04-06T14:18:43Z,6,4,2014,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,610844,,Rudyard,2014-04-06T23:02:54Z,CC_BY_NC_4_0,Harpo Faust,Harpo Faust,,,2023-09-13T17:02:03Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
899959709,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/602797,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,intermedia,VARIETY,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Amsinckia menziesii intermedia,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.913055,-121.941891,209,NA,NA,NA,NA,NA,2014-03-30T14:37:00Z,30,3,2014,4273336,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,602797,,icosahedron,2018-08-21T08:06:26Z,CC_BY_4_0,icosahedron,icosahedron,,,2023-09-13T17:02:02Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
899959250,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/601807,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.379502,-122.374949,211,NA,NA,NA,NA,NA,2014-03-30T00:00:00Z,30,3,2014,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,601807,,Donna Pomeroy,2016-03-25T21:27:56Z,CC_BY_NC_4_0,Donna Pomeroy,Donna Pomeroy,,,2023-09-13T17:21:50Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
899946988,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/565612,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,Amsinckia menziesii,,SPECIES,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Amsinckia menziesii,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.334792,-121.703531,5,NA,NA,NA,NA,NA,2014-03-12T13:26:30Z,12,3,2014,2925870,2925870,HUMAN_OBSERVATION,iNaturalist,Observations,565612,,Ken-ichi Ueda,2014-03-13T02:52:02Z,CC0_1_0,Ken-ichi Ueda,Ken-ichi Ueda,,,2023-09-13T17:02:02Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
