gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
4404963937,b8811bf9-abcf-4600-9245-eda1017c3978,0c8d3f6f-de83-4de8-bf41-bb398e3064d8,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Wats.,US,"Silver Canyon, from Bishop, Highway 6 North, right on Silver Canyon Road, into canyon, near first stream crossing",California,PRESENT,NA,470365d0-812d-11de-86fe-b8a03c50a862,37.404981,-118.309089,NA,NA,1358,NA,NA,NA,2015-10-20T00:00:00Z,20,10,2015,3083665,3083665,PRESERVED_SPECIMEN,RENO,V,61374,NV030-1178,,NA,CC_BY_4_0,,M. Gray,NA,,2023-09-18T14:39:48Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4177413463,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/177518416,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.596408,-118.108894,4,NA,NA,NA,NA,NA,2023-08-01T18:18:33Z,1,8,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,177518416,,Ulysses M,2023-08-09T15:47:33Z,CC_BY_NC_4_0,Ulysses M,Ulysses M,NA,,2023-09-13T17:21:45Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4171972768,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/176231736,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.932092,-117.366508,4,NA,NA,NA,NA,NA,2023-07-31T12:05:00Z,31,7,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,176231736,,Bill Michalek,2023-08-02T05:45:39Z,CC0_1_0,Bill Michalek,Bill Michalek,NA,,2023-09-13T17:39:38Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4171369419,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/74115539,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.936407,-120.016326,9,NA,NA,NA,NA,NA,2021-04-15T15:15:32Z,15,4,2021,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,74115539,,jacquelinerose,2021-04-16T05:44:40Z,CC_BY_NC_4_0,jacquelinerose,jacquelinerose,NA,,2023-09-13T17:28:38Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4165759187,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/174514984,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.992456,-117.539721,7,NA,NA,NA,NA,NA,2023-07-19T04:22:00Z,19,7,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,174514984,,Mike Ross,2023-07-23T17:30:11Z,CC_BY_NC_4_0,Mike Ross,Mike Ross,NA,,2023-09-13T17:22:01Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4165621601,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/174590113,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.022548,-118.231667,NA,NA,NA,NA,NA,NA,2023-07-21T10:08:00Z,21,7,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,174590113,,Mike Ross,2023-07-24T00:07:04Z,CC_BY_NC_4_0,Mike Ross,Mike Ross,NA,,2023-09-13T17:21:35Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4153376979,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/171683080,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.863595,-116.233206,55,NA,NA,NA,NA,NA,2023-02-18T14:35:10Z,18,2,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,171683080,,Matthew Salkiewicz,2023-07-08T04:27:47Z,CC_BY_NC_4_0,Matthew Salkiewicz,Matthew Salkiewicz,NA,,2023-09-13T17:21:35Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
4138251446,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/169461477,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.170837,-118.194122,4,NA,NA,NA,NA,NA,2023-06-24T08:56:51Z,24,6,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,169461477,,Steve Matson,2023-06-25T20:47:15Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:22:11Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4138103302,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/806842,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.972029,-117.910649,5,NA,NA,NA,NA,NA,2014-07-28T13:33:07Z,28,7,2014,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,806842,,Jim Morefield,2018-11-04T02:30:33Z,CC0_1_0,Charlie Hohn,Charlie Hohn,NA,,2023-09-13T17:23:20Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
4133752310,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16698115,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.112812,-114.910645,NA,NA,NA,NA,NA,NA,2018-09-15T17:37:27Z,15,9,2018,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,16698115,,Bob Miller,2018-11-08T21:15:18Z,CC_BY_4_0,Bob Miller,Bob Miller,NA,,2023-09-13T17:03:39Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4128836321,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-302319,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"Piute Valley; SW end of the Dead Mountains and west of I-95 near Sacramento Springs. From I-40 go north for c. 1.5 road miles on I-95. Along the wash, 0.3 air mile west of I-95",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,34.89642,-114.7725,NA,NA,389,NA,NA,NA,2022-11-17T00:00:00Z,17,11,2022,3083665,3083665,PRESERVED_SPECIMEN,UCR,,,088,,NA,CC_BY_NC_4_0,,Sharon Estrada; Duncan S. Bell,NA,,2023-09-09T00:09:54Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4128833319,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-302114,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"From Ridgecrest, take CA178 east and Trona Rd for 34 miles. Turn left at the BLM information kiosk going west for 2 miles.",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,35.85669,-117.37008,NA,NA,726,NA,NA,NA,2022-12-08T00:00:00Z,8,12,2022,3083665,3083665,PRESERVED_SPECIMEN,UCR,,,092,,NA,CC_BY_NC_4_0,,Sharon Estrada; Duncan S. Bell,NA,,2023-09-09T00:09:54Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4128831456,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-303710,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"Mesquite Spring, El Paso Mountains, north of Redrock - Randsburg Rd.",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,35.39028,-117.81306,NA,NA,651,NA,NA,NA,2019-06-06T00:00:00Z,6,6,2019,3083665,3083665,PRESERVED_SPECIMEN,UCR,,UCR0137173,6592,,NA,CC_BY_NC_4_0,,"Naomi Fraga; Kristy Snyder, Kim A. Schaefer",NA,,2023-09-09T00:09:54Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4128830456,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-303709,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"McDonald Well, east of Hoffman Rd., between Fremont Peak and Harper Valley",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,35.11556,-117.37311,NA,NA,701,NA,NA,NA,2019-06-06T00:00:00Z,6,6,2019,3083665,3083665,PRESERVED_SPECIMEN,UCR,,UCR0137172,6597,,NA,CC_BY_NC_4_0,,"Naomi Fraga; Kristy Snyder, Kim A. Schaefer",NA,,2023-09-09T00:09:54Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4128830320,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-302113,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"Anderson Dry Lake: W part of Fry Mountains and S of the Ord Mountains. From Lucerne Valley, go east on CA-18 Hwy/Old Woman Springs Rd. for about 5.3 miles. Make a left/north onto Camp Rock Rd. and proceed for about 6 miles. At the junction turn right onto Granite Rd. Collected at the southernmost part of the dry lake bed.",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,34.55272,-116.76522,NA,NA,980,NA,NA,NA,2022-11-17T00:00:00Z,17,11,2022,3083665,3083665,PRESERVED_SPECIMEN,UCR,,,091,,NA,CC_BY_NC_4_0,,Sharon Estrada; Duncan S. Bell,NA,,2023-09-09T00:09:54Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4116574206,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/161308247,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.180263,-118.227867,3,NA,NA,NA,NA,NA,2023-05-12T13:55:02Z,12,5,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,161308247,,Steve Matson,2023-05-12T22:37:23Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:20:33Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4105781929,595b50ad-d31f-471a-82c9-c9ff631db3e3,8411b7cd-8bc3-4c66-9f1c-ee4cc204ca1a,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Wats.,US,"Slopes, east facing, above highway 33, on road to Maricopa",California,PRESENT,NA,26b1b249-1145-4fd4-ae38-0544700224ad,35.13333,-119.44417,NA,NA,300,NA,NA,NA,2000-09-29T00:00:00Z,29,9,2000,3083665,3083665,PRESERVED_SPECIMEN,MWI,,MWI00061424,15694,G.F. Hrusa,2000-01-01T00:00:00Z,CC_BY_4_0,Western Illinois University,"Hrusa, G.F.; T.D. Wilfred",NA,,2023-09-19T09:45:36Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4102872988,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/158277833,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.34658,-118.29698,4,NA,NA,NA,NA,NA,2023-04-29T09:49:05Z,29,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,158277833,,Steve Matson,2023-04-30T20:15:56Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:40:52Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
4102775306,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/157389826,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.403313,-118.331038,3,NA,NA,NA,NA,NA,2023-04-28T11:17:17Z,28,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,157389826,,Steve Matson,2023-04-29T01:26:54Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:39:31Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4102577262,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/157386531,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.405095,-118.310653,3,NA,NA,NA,NA,NA,2023-04-28T11:29:20Z,28,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,157386531,,Steve Matson,2023-04-29T01:16:48Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:20:08Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4096843622,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/150703708,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.284717,-116.153389,4,NA,NA,NA,NA,NA,2023-01-26T12:56:00Z,26,1,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,150703708,,Matt Berger,2023-03-10T02:31:19Z,CC_BY_4_0,Matt Berger,Matt Berger,NA,,2023-09-13T17:38:32Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4096459627,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154735982,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.679822,-118.111503,4,NA,NA,NA,NA,NA,2023-04-11T10:07:29Z,11,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,154735982,,Steve Matson,2023-04-13T19:27:31Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:20:18Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4096459622,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154681988,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.671888,-118.128205,3,NA,NA,NA,NA,NA,2023-04-11T10:44:53Z,11,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,154681988,,Steve Matson,2023-04-13T11:19:52Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:41:33Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4091808149,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154948453,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.344247,-117.838797,4,NA,NA,NA,NA,NA,2023-04-14T13:10:19Z,14,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,154948453,,Steve Matson,2023-04-15T11:05:35Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:20:43Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4091615349,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/74169953,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.615662,-116.25052,5,NA,NA,NA,NA,NA,2021-04-16T12:42:54Z,16,4,2021,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,74169953,,jmstone,2021-04-16T19:58:56Z,CC_BY_NC_4_0,jmstone,jmstone,NA,,2023-09-13T17:28:03Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4091539568,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/153499328,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.870892,-116.235234,33,NA,NA,NA,NA,NA,2023-04-02T09:10:36Z,2,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,153499328,,nathantay,2023-04-04T22:33:41Z,CC_BY_NC_4_0,nathantay,nathantay,NA,,2023-09-13T17:37:36Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4091528824,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154643434,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.62043,-118.033997,4,NA,NA,NA,NA,NA,2023-04-11T11:46:21Z,11,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,154643434,,Steve Matson,2023-04-13T01:21:21Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:39:21Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4091523831,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154641458,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.627395,-118.014083,4,NA,NA,NA,NA,NA,2023-04-11T11:59:48Z,11,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,154641458,,Steve Matson,2023-04-13T01:01:48Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:20:24Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4080653023,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/153859632,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.20507,-118.25998,3,NA,NA,NA,NA,NA,2023-04-07T14:37:08Z,7,4,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,153859632,,Steve Matson,2023-04-07T21:38:30Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-09-13T17:20:40Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
