gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
923914123,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/716340,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.876446,-121.921463,52,NA,NA,NA,NA,NA,2014-06-02T15:43:54Z,2,6,2014,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,716340,,David Greenberger,2014-06-04T03:56:05Z,CC_BY_NC_4_0,David Greenberger,David Greenberger,NA,,2023-09-13T17:22:12Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
788629172,aab0cf80-0c64-11dd-84d1-b8a03c50a862,LD:General:1388252,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,Glendale,California,PRESENT,1,883ee5d0-9177-423d-a636-0284e8a4de46,34.1425,-118.255,NA,NA,NA,NA,NA,NA,2009-04-28T00:00:00Z,28,4,2009,3041998,3042005,PRESERVED_SPECIMEN,LD,General,1388252,,,NA,CC_BY_NC_4_0,,Mogens Thornberg,NA,,2023-09-16T02:14:33Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4405303531,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/160660055,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,38.489297,-122.10398,7,NA,NA,NA,NA,NA,2023-05-08T11:15:40Z,8,5,2023,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,160660055,,Ryan Brooks,2023-05-09T00:23:54Z,CC_BY_NC_4_0,Ryan Brooks,Ryan Brooks,NA,,2023-09-13T17:39:17Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4405299543,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/163514666,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.118242,-122.506753,257,NA,NA,NA,NA,NA,2023-05-22T08:50:54Z,22,5,2023,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,163514666,,Mike Heine,2023-05-24T17:31:14Z,CC_BY_4_0,Mike Heine,Mike Heine,NA,,2023-09-13T17:21:05Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4405292515,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/163258772,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.466192,-119.658325,5,NA,NA,NA,NA,NA,2020-04-23T13:12:00Z,23,4,2020,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,163258772,,Adam J. Searcy,2023-05-23T04:40:16Z,CC_BY_4_0,Adam J. Searcy,Adam J. Searcy,NA,,2023-09-13T17:21:13Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4405265446,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/161822078,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.094611,-121.843103,4,NA,NA,NA,NA,NA,2023-05-10T09:08:00Z,10,5,2023,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,161822078,,Barbara Banfield,2023-05-15T16:15:48Z,CC_BY_4_0,Barbara Banfield,Barbara Banfield,NA,,2023-09-13T17:39:11Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4405264580,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/163765413,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.484742,-118.310845,NA,NA,NA,NA,NA,NA,2023-04-14T12:51:00Z,14,4,2023,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,163765413,,Olivia Miseroy,2023-05-26T04:50:07Z,CC_BY_NC_4_0,Olivia Miseroy,Olivia Miseroy,NA,,2023-09-13T17:21:09Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4405258468,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/156165555,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.709918,-120.816232,3,NA,NA,NA,NA,NA,2023-04-22T10:30:23Z,22,4,2023,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,156165555,,Fred Watson,2023-04-23T02:04:57Z,CC_BY_NC_4_0,Fred Watson,Fred Watson,NA,,2023-09-13T17:20:08Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4405143487,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/161931873,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.120022,-119.629745,3,NA,NA,NA,NA,NA,2023-04-22T11:51:17Z,22,4,2023,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,161931873,,marybethredding,2023-05-16T05:40:27Z,CC_BY_NC_4_0,marybethredding,marybethredding,NA,,2023-09-13T17:39:02Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4405118431,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/155278705,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.595617,-120.678025,NA,NA,NA,NA,NA,NA,2023-04-16T16:46:09Z,16,4,2023,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,155278705,,Emma,2023-04-17T03:50:37Z,CC_BY_NC_4_0,Emma,Emma,NA,,2023-09-13T17:21:49Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
