gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
4407241607,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/165949915,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,,SPECIES,Centromadia pungens (Hook. & Arn.) Greene,Centromadia pungens,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.843823,-117.241232,NA,NA,NA,NA,NA,NA,2023-06-06T12:16:44Z,6,6,2023,3141046,3141046,HUMAN_OBSERVATION,iNaturalist,Observations,165949915,,Scott Altmann,2023-06-06T19:19:42Z,CC_BY_NC_4_0,Scott Altmann,Scott Altmann,,,2023-09-13T17:21:04Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4405407637,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/180071345,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,,SPECIES,Centromadia pungens (Hook. & Arn.) Greene,Centromadia pungens,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.436303,-121.957397,NA,NA,NA,NA,NA,NA,2023-08-24T18:37:48Z,24,8,2023,3141046,3141046,HUMAN_OBSERVATION,iNaturalist,Observations,180071345,,Aleksandra,2023-08-25T03:42:36Z,CC_BY_NC_4_0,Aleksandra,Aleksandra,,,2023-09-13T17:22:19Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4404982206,b8811bf9-abcf-4600-9245-eda1017c3978,8d9b7b19-58e8-48be-b6f9-3049238395ff,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,laevis,SUBSPECIES,Centromadia pungens subsp. laevis (D.D.Keck) B.G.Baldwin,Centromadia pungens subsp. laevis,(D.D. Keck) B.G. Baldw.,US,"Perris Basin, San Jacinto area.",California,PRESENT,NA,470365d0-812d-11de-86fe-b8a03c50a862,33.816667,-117,NA,NA,NA,NA,NA,NA,2006-06-28T00:00:00Z,28,6,2006,4242624,3141046,PRESERVED_SPECIMEN,RENO,V,114624,11596,collector,NA,CC_BY_4_0,,"S.D. White; D. Bramlet, K. Byrne",,,2023-09-18T14:39:57Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4404866390,b8811bf9-abcf-4600-9245-eda1017c3978,e11dafce-17db-46cf-b503-3b54a95d94d8,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,laevis,SUBSPECIES,Centromadia pungens subsp. laevis (D.D.Keck) B.G.Baldwin,Centromadia pungens subsp. laevis,(D.D. Keck) B.G. Baldw.,US,"San Jacinto Wildlife Area, Davis Road, 0.5 mile N of Lakeview.",California,PRESENT,NA,470365d0-812d-11de-86fe-b8a03c50a862,33.8456099,-117.1212623,NA,NA,434,NA,NA,NA,2003-05-08T00:00:00Z,8,5,2003,4242624,3141046,PRESERVED_SPECIMEN,RENO,V,59883,18550,collector,NA,CC_BY_4_0,,D.W. Taylor,,,2023-09-18T14:38:51Z,StillImage,COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4400242440,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/175671917,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,,SPECIES,Centromadia pungens (Hook. & Arn.) Greene,Centromadia pungens,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.181818,-120.795356,8,NA,NA,NA,NA,NA,2023-07-16T12:46:00Z,16,7,2023,3141046,3141046,HUMAN_OBSERVATION,iNaturalist,Observations,175671917,,Ken Mateik,2023-07-30T04:45:46Z,CC_BY_NC_4_0,Ken Mateik,Ken Mateik,,,2023-09-13T17:41:08Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4177349496,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/177624378,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,,SPECIES,Centromadia pungens (Hook. & Arn.) Greene,Centromadia pungens,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.553642,-122.088919,4,NA,NA,NA,NA,NA,2023-08-09T17:23:55Z,9,8,2023,3141046,3141046,HUMAN_OBSERVATION,iNaturalist,Observations,177624378,,Cheryl Rosenfeld,2023-08-10T05:30:17Z,CC_BY_NC_4_0,Cheryl Rosenfeld,Cheryl Rosenfeld,,,2023-09-13T17:41:00Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4177095970,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/176059723,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,,SPECIES,Centromadia pungens (Hook. & Arn.) Greene,Centromadia pungens,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.439145,-121.959125,6,NA,NA,NA,NA,NA,2023-07-26T08:34:00Z,26,7,2023,3141046,3141046,HUMAN_OBSERVATION,iNaturalist,Observations,176059723,,Melanie Barnett,2023-08-01T05:12:11Z,CC_BY_NC_4_0,Melanie Barnett,Melanie Barnett,,,2023-09-13T17:41:21Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4177055972,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/173329408,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,,SPECIES,Centromadia pungens (Hook. & Arn.) Greene,Centromadia pungens,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,38.124384,-122.473218,212,NA,NA,NA,NA,NA,2023-07-16T17:43:39Z,16,7,2023,3141046,3141046,HUMAN_OBSERVATION,iNaturalist,Observations,173329408,,ecopunx,2023-07-17T00:44:46Z,CC_BY_NC_4_0,ecopunx,ecopunx,,,2023-09-13T17:41:19Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4177022799,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/176356270,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,,SPECIES,Centromadia pungens (Hook. & Arn.) Greene,Centromadia pungens,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,38.18735,-122.600913,4,NA,NA,NA,NA,NA,2023-08-02T13:10:09Z,2,8,2023,3141046,3141046,HUMAN_OBSERVATION,iNaturalist,Observations,176356270,,zarigueyamuerta,2023-08-02T23:48:02Z,CC_BY_NC_4_0,zarigueyamuerta,zarigueyamuerta,,,2023-09-13T17:40:08Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4177020928,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/176225692,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia,Centromadia pungens,,SPECIES,Centromadia pungens (Hook. & Arn.) Greene,Centromadia pungens,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,38.04102,-121.96899,5,NA,NA,NA,NA,NA,2023-08-01T08:25:00Z,1,8,2023,3141046,3141046,HUMAN_OBSERVATION,iNaturalist,Observations,176225692,,Dan Fitzgerald (Fitz),2023-08-02T04:23:36Z,CC_BY_NC_4_0,Dan Fitzgerald (Fitz),Dan Fitzgerald (Fitz),,,2023-09-13T17:42:01Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
