gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
4171334734,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/155679687,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.760049,-119.58114,173,NA,NA,NA,NA,NA,2023-04-17T17:40:00Z,17,4,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,155679687,,Ryan O'Dell,2023-08-06T19:30:29Z,CC_BY_NC_4_0,Aashay Mody,Aashay Mody,NA,NA,2023-09-13T17:38:11Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4129891541,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/155105900,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.349695,-119.816718,10,NA,NA,NA,NA,NA,2023-04-15T17:28:26Z,15,4,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,155105900,,Ryan O'Dell,2023-06-04T18:10:33Z,CC_BY_NC_4_0,kputirka,kputirka,NA,NA,2023-09-13T17:41:46Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4129885574,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/155397893,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.11402,-119.600695,50,NA,NA,NA,NA,NA,2023-04-16T12:22:00Z,16,4,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,155397893,,Ryan O'Dell,2023-06-04T18:04:04Z,CC_BY_4_0,Zack Abbey,Zack Abbey,NA,NA,2023-09-13T17:20:57Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4129870531,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/155281186,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.032268,-119.46611,244,NA,NA,NA,NA,NA,2023-03-13T16:07:00Z,13,3,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,155281186,,Luca Hickey,2023-04-17T04:16:16Z,CC_BY_NC_4_0,Luca Hickey,Luca Hickey,NA,NA,2023-09-13T17:21:34Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4129742495,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154665573,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.542605,-119.580658,20,NA,NA,NA,NA,NA,2023-04-12T15:34:13Z,12,4,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,154665573,,Ryan O'Dell,2023-06-04T17:54:30Z,CC_BY_4_0,Mike Heine,Mike Heine,NA,NA,2023-09-13T17:38:43Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4111902584,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/160012934,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.291958,-119.636839,NA,NA,NA,NA,NA,NA,2023-04-29T09:40:00Z,29,4,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,160012934,,James Bailey,2023-05-06T05:08:56Z,CC_BY_4_0,Madeleine Claire,Madeleine Claire,NA,NA,2023-09-13T17:42:01Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4103361297,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/158703616,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.29203,-119.636973,NA,NA,NA,NA,NA,NA,2023-04-29T10:33:00Z,29,4,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,158703616,,Ryan O'Dell,2023-05-02T00:32:02Z,CC_BY_NC_4_0,Andrew Newmark,Andrew Newmark,NA,NA,2023-09-13T17:36:45Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4102691536,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/155671593,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.333404,-119.362696,172,NA,NA,NA,NA,NA,2023-04-05T13:59:00Z,5,4,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,155671593,,Steve Woodward,2023-04-19T22:40:32Z,CC_BY_NC_4_0,Steve Woodward,Steve Woodward,NA,NA,2023-09-13T17:40:10Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4102681536,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154516736,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.296387,-119.625947,8,NA,NA,NA,NA,NA,2023-04-09T15:59:04Z,9,4,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,154516736,,Ryan O'Dell,2023-05-02T03:18:53Z,CC_BY_NC_4_0,spyingnaturalist,spyingnaturalist,NA,NA,2023-09-13T17:37:13Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4102640508,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154528035,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia pentachaeta,albida,SUBSPECIES,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.266247,-119.312347,16,NA,NA,NA,NA,NA,2023-04-03T13:57:00Z,3,4,2023,5705389,5392988,HUMAN_OBSERVATION,iNaturalist,Observations,154528035,,Ryan O'Dell,2023-05-02T03:17:59Z,CC_BY_NC_4_0,Dean Lyons,Dean Lyons,NA,NA,2023-09-13T17:20:41Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
