gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
4404981851,b8811bf9-abcf-4600-9245-eda1017c3978,5e65d596-8d4f-47a9-9fc5-b5427a746d90,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,"Along State Highway 247, 26 miles northwest of Yucca Valley or 17 miles east of Lucerne Valley",California,PRESENT,NA,470365d0-812d-11de-86fe-b8a03c50a862,34.37583,-116.6603,NA,NA,922,NA,NA,NA,2002-03-25T00:00:00Z,25,3,2002,6370695,7893492,PRESERVED_SPECIMEN,RENO,V,35688,6133,unknown,NA,CC_BY_4_0,,R.R. Halse,NA,,2023-09-18T14:39:57Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4131084345,e5d9d04e-ffd1-4395-9b10-76034f0c619c,db469608-81f1-4b75-9a20-0260e75b7b26,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,Abt. 2.5 miles east of Essex along pipeline road,California,PRESENT,NA,218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3,34.70366,-115.2148,NA,NA,625,NA,NA,NA,2023-02-20T00:00:00Z,20,2,2023,6370695,7893492,PRESERVED_SPECIMEN,ASC,,ASC00127644,6375,,NA,CC_BY_4_0,Deaver Herbarium,G. Goodwin,NA,,2023-09-08T23:55:40Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4131082352,e5d9d04e-ffd1-4395-9b10-76034f0c619c,937c75a5-b9bc-4bdb-906e-6a88f91ab912,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,Abt. 15 miles south of Cadiz railroad crossing along Cadiz Road and 1.5 miles north of Chubbuck,California,PRESENT,NA,218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3,34.37919,-115.30521,NA,NA,274,NA,NA,NA,2023-02-20T00:00:00Z,20,2,2023,6370695,7893492,PRESERVED_SPECIMEN,ASC,,ASC00127645,6376,,NA,CC_BY_4_0,Deaver Herbarium,G. Goodwin,NA,,2023-09-08T23:55:41Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4104087409,ed3d96f2-db7b-48cd-9960-f871e7df7286,9a1ba077-ca7b-4a19-9fd3-b36ba012c828,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,Highway 33.,California,PRESENT,NA,48558fd5-e402-4362-ba91-7c742c96a26c,34.62991,-119.37119,NA,NA,1355,NA,NA,NA,2022-04-29T00:00:00Z,29,4,2022,6370695,7893492,PRESERVED_SPECIMEN,SBBG,,,4509,,NA,CC_BY_NC_4_0,,Kristen Hasenstab-Lehman; C. Matt Guilliams,NA,,2023-09-08T21:28:38Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
4068943594,dfe29309-9f9f-493b-95e7-68f4563a3cdb,bf97b779-de1d-4410-9d44-90a52eccd872,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,"Highway 168 to Joshua Tree National Park, ca. 1 mile from I-10.",California,PRESENT,NA,6567af74-d231-4588-a123-5d0b7a095fda,33.668611,-115.801917,NA,NA,515,NA,NA,NA,2010-04-01T00:00:00Z,1,4,2010,6370695,7893492,PRESERVED_SPECIMEN,SRP,Vascular,34974,11652,C. Davidson,NA,CC0_1_0,"Boise State University, Snake River Plains Herbarium",C. Davidson,NA,,2023-09-19T11:31:06Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4068898829,dfe29309-9f9f-493b-95e7-68f4563a3cdb,58d0a071-358b-4911-a277-a2b47b9dca59,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,Joshua Tree National Park. Black Eagle Rd. ca.  mile from junction with main park road.,California,PRESENT,NA,6567af74-d231-4588-a123-5d0b7a095fda,33.836028,-115.744389,NA,NA,736,NA,NA,NA,2010-04-01T00:00:00Z,1,4,2010,6370695,7893492,PRESERVED_SPECIMEN,SRP,Vascular,34975,11675,C. Davidson,NA,CC0_1_0,"Boise State University, Snake River Plains Herbarium",C. Davidson,NA,,2023-09-19T11:30:49Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4010574303,b2d55172-8980-4195-9632-a186edb27d5a,5258c879-fdc2-41d7-96a9-bbf1fa1fa686,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,"Willow Springs park, 30 ft ahead of trail",California,PRESENT,NA,a26fb77a-67a4-4a15-b2c3-0c7b87ddb8e6,33.8075,-118.1772,NA,NA,25,NA,NA,NA,2019-04-24T00:00:00Z,24,4,2019,6370695,7893492,PRESERVED_SPECIMEN,LOB,,LOB102279,35,,NA,CC_BY_NC_4_0,,Jaanntrear Lot; Sylvia Thong,NA,,2023-09-07T10:02:04Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
3921044309,b2d55172-8980-4195-9632-a186edb27d5a,529da0e4-aafa-46f7-a6c9-be254bb94bd9,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,"Whittier Narrows Nature Center, San Gabriel River Trail",California,PRESENT,NA,a26fb77a-67a4-4a15-b2c3-0c7b87ddb8e6,34.035332,-118.04485,NA,NA,25,NA,NA,NA,2019-03-03T00:00:00Z,3,3,2019,6370695,7893492,PRESERVED_SPECIMEN,LOB,,LOB107974,15,,NA,CC_BY_NC_4_0,,J. E. Roman,NA,,2023-09-07T10:02:04Z,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
3872259306,ed3d96f2-db7b-48cd-9960-f871e7df7286,b78351a9-e74b-4daa-907b-1477f24ba581,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,Point Mugu.,California,PRESENT,NA,48558fd5-e402-4362-ba91-7c742c96a26c,34.10132,-119.08132,NA,NA,NA,NA,NA,NA,2022-04-24T00:00:00Z,24,4,2022,6370695,7893492,PRESERVED_SPECIMEN,SBBG,,,4200,,NA,CC_BY_NC_4_0,,"Kristen Hasenstab-Lehman; C. Matt Guilliams, Daniel Cisneros, Annie Ayers, Caitlin Hazelquist",NA,,2023-09-08T21:28:30Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
3821836302,e05fd4c2-4d77-4c50-880e-1b22096af300,088744ca-ce30-46a2-ac05-7de88b065d2b,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,Cleomella arborea,NA,SPECIES,Peritoma arborea (Nutt. ex Torr. & A.Gray) Iltis,Peritoma arborea,(Nutt.) Iltis,US,lower Bonanza Spring; Southeast slope of the Clipper Mountains,California,PRESENT,NA,814cdfb5-d4f8-4453-815f-ea5df98e76bf,34.685856,-115.405534,NA,NA,640,NA,NA,NA,2022-04-18T00:00:00Z,18,4,2022,6370695,7893492,PRESERVED_SPECIMEN,ASU,Plants,ASU0313763,7189,,NA,CC_BY_4_0,,"Liz Makings; Andrew Johnston, Rosie Liao, Laura Steger, Rick Overson",NA,,2023-09-09T00:07:56Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
