gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
4154130679,9781ce05-2379-4a10-ab3b-c91346510df8,c3da1a17-9099-4547-ba6e-6f092cec3182,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,Benth.,US,"Attwell Island/Ton Tache, south of Alpaugh, next to canal after entering Ton Tache.",California,PRESENT,NA,55807027-6d78-46bd-b2cb-301295ee35aa,38.847576,-119.48873,NA,NA,52,NA,NA,NA,2018-04-15T00:00:00Z,15,4,2018,2928053,2928053,PRESERVED_SPECIMEN,RSA,VascularPlants,RSA0515594,7,Mary H. Merriman,NA,CC_BY_NC_4_0,,Mary H. Merriman,,,2023-09-08T22:02:25Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
4137588693,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/167027609,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.213413,-119.854672,NA,NA,NA,NA,NA,NA,2023-05-07T15:13:35Z,7,5,2023,2928053,2928053,HUMAN_OBSERVATION,iNaturalist,Observations,167027609,,mazer,2023-06-14T18:48:12Z,CC_BY_4_0,Alexander Wentworth,Alexander Wentworth,,,2023-09-13T17:42:07Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4133731790,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/166077765,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.307706,-119.942253,3,NA,NA,NA,NA,NA,2023-04-21T15:00:00Z,21,4,2023,2928053,2928053,HUMAN_OBSERVATION,iNaturalist,Observations,166077765,,sunilwij,2023-06-07T14:53:05Z,CC_BY_NC_4_0,sunilwij,sunilwij,,,2023-09-13T17:39:17Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4129689371,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/154219174,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.641252,-117.843522,5,NA,NA,NA,NA,NA,2023-04-09T11:38:22Z,9,4,2023,2928053,2928053,HUMAN_OBSERVATION,iNaturalist,Observations,154219174,,onesteward,2023-04-10T03:13:39Z,CC_BY_NC_4_0,onesteward,onesteward,,,2023-09-13T17:40:00Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4126895363,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/162228838,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.222837,-119.936156,15,NA,NA,NA,NA,NA,2023-05-06T09:12:00Z,6,5,2023,2928053,2928053,HUMAN_OBSERVATION,iNaturalist,Observations,162228838,,nmoorhatch,2023-05-18T01:09:56Z,CC_BY_4_0,nmoorhatch,nmoorhatch,,,2023-09-13T17:21:42Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4126691722,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/51748729,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.641325,-117.844306,NA,NA,NA,NA,NA,NA,2020-04-08T12:01:00Z,8,4,2020,2928053,2928053,HUMAN_OBSERVATION,iNaturalist,Observations,51748729,,John Cowles,2023-05-30T03:33:19Z,CC_BY_NC_4_0,UCI Nature,UCI Nature,,,2023-09-13T17:28:08Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4116352408,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/161304289,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.185092,-119.770392,NA,NA,NA,NA,NA,NA,2023-04-24T11:14:00Z,24,4,2023,2928053,2928053,HUMAN_OBSERVATION,iNaturalist,Observations,161304289,,Carol Blaney,2023-05-12T22:05:20Z,CC_BY_NC_4_0,Carol Blaney,Carol Blaney,,,2023-09-13T17:21:19Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4111754441,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149621757,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.70317,-120.733012,NA,NA,NA,NA,NA,NA,2023-02-19T14:19:00Z,19,2,2023,2928053,2928053,HUMAN_OBSERVATION,iNaturalist,Observations,149621757,,Paul G. Johnson,2023-02-25T09:08:24Z,CC_BY_NC_4_0,Paul G. Johnson,Paul G. Johnson,,,2023-09-13T17:38:34Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4111716437,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149621756,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.703215,-120.733018,NA,NA,NA,NA,NA,NA,2023-02-19T14:17:00Z,19,2,2023,2928053,2928053,HUMAN_OBSERVATION,iNaturalist,Observations,149621756,,Paul G. Johnson,2023-02-25T09:08:24Z,CC_BY_NC_4_0,Paul G. Johnson,Paul G. Johnson,,,2023-09-13T17:37:34Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4103401630,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/159188327,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia ciliata,,SPECIES,Phacelia ciliata Benth.,Phacelia ciliata,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.205721,-119.853134,NA,NA,NA,NA,NA,NA,2023-04-26T16:38:42Z,26,4,2023,2928053,2928053,HUMAN_OBSERVATION,iNaturalist,Observations,159188327,,Emily,2023-05-02T15:44:17Z,CC_BY_4_0,Emily,Emily,,,2023-09-13T17:20:27Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
