observation_id,authorplotcode_vb,project_id_name,date,latitude,longitude,spp
83060,E04231422,San Joaquin Valley and Southern Foothills,2008-04-23,35.348660338581404,-119.474241056436,a_polycarpa
83157,J06161524,San Joaquin Valley and Southern Foothills,2008-06-16,34.9804925406169,-119.186173352375,a_polycarpa
83160,J06190943,San Joaquin Valley and Southern Foothills,2008-06-19,34.9463509695333,-119.185222482022,a_polycarpa
83161,J06191027,San Joaquin Valley and Southern Foothills,2008-06-19,34.9469493844911,-119.185533987043,a_polycarpa
83170,K06051045,San Joaquin Valley and Southern Foothills,2008-06-05,34.9855642686048,-119.184884205174,a_polycarpa
83308,B06261122,San Joaquin Valley and Southern Foothills,2008-06-26,35.4112904070257,-118.978046364459,a_polycarpa
83309,B06261203,San Joaquin Valley and Southern Foothills,2008-06-26,35.4113198204923,-118.982848282987,a_polycarpa
83328,LOKE0506,San Joaquin Valley and Southern Foothills,2010-03-27,35.3991412955761,-119.571197517841,a_polycarpa
83431,A06181110,San Joaquin Valley and Southern Foothills,2008-06-18,34.9652343977851,-119.122928676142,a_polycarpa
83445,B05061540,San Joaquin Valley and Southern Foothills,2008-05-06,35.3010955490568,-119.346624550072,a_polycarpa
83447,B06161710,San Joaquin Valley and Southern Foothills,2008-06-16,34.9623561820406,-119.187049229513,a_polycarpa
83449,B06191029,San Joaquin Valley and Southern Foothills,2008-06-19,34.9465566850691,-119.186815522774,a_polycarpa
83453,B06241359,San Joaquin Valley and Southern Foothills,2008-06-24,35.4159999913197,-118.992620985675,a_polycarpa
83454,B06241420,San Joaquin Valley and Southern Foothills,2008-06-24,35.4143367902922,-118.990157314415,a_polycarpa
83481,C04300955,San Joaquin Valley and Southern Foothills,2008-04-30,35.863351863087,-119.541835926948,a_polycarpa
83595,PVER019,CDFG lands Region4 2004-2005,2005-05-09,36.15832,-120.24731,a_polycarpa
83596,PVER020,CDFG lands Region4 2004-2005,2005-06-08,36.15468,-120.24863,a_polycarpa
