gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
4138251446,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/169461477,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.170837,-118.194122,4,NA,NA,NA,NA,NA,2023-06-24T08:56:51Z,24,6,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,169461477,,Steve Matson,2023-06-25T20:47:15Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-07-06T13:11:28Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4138103302,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/806842,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.972029,-117.910649,5,NA,NA,NA,NA,NA,2014-07-28T13:33:07Z,28,7,2014,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,806842,,Jim Morefield,2018-11-04T02:30:33Z,CC0_1_0,Charlie Hohn,Charlie Hohn,NA,,2023-07-06T12:51:57Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
4133752310,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/16698115,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.112812,-114.910645,NA,NA,NA,NA,NA,NA,2018-09-15T17:37:27Z,15,9,2018,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,16698115,,Bob Miller,2018-11-08T21:15:18Z,CC_BY_4_0,Bob Miller,Bob Miller,NA,,2023-07-06T12:28:06Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4128836321,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-302319,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"Piute Valley; SW end of the Dead Mountains and west of I-95 near Sacramento Springs. From I-40 go north for c. 1.5 road miles on I-95. Along the wash, 0.3 air mile west of I-95",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,34.89642,-114.7725,NA,NA,389,NA,NA,NA,2022-11-17T00:00:00Z,17,11,2022,3083665,3083665,PRESERVED_SPECIMEN,UCR,,,088,,NA,CC_BY_NC_4_0,,Sharon Estrada; Duncan S. Bell,NA,,2023-07-04T22:04:01Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4128833319,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-302114,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"From Ridgecrest, take CA178 east and Trona Rd for 34 miles. Turn left at the BLM information kiosk going west for 2 miles.",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,35.85669,-117.37008,NA,NA,726,NA,NA,NA,2022-12-08T00:00:00Z,8,12,2022,3083665,3083665,PRESERVED_SPECIMEN,UCR,,,092,,NA,CC_BY_NC_4_0,,Sharon Estrada; Duncan S. Bell,NA,,2023-07-04T22:04:01Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4128831456,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-303710,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"Mesquite Spring, El Paso Mountains, north of Redrock - Randsburg Rd.",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,35.39028,-117.81306,NA,NA,651,NA,NA,NA,2019-06-06T00:00:00Z,6,6,2019,3083665,3083665,PRESERVED_SPECIMEN,UCR,,,6592,,NA,CC_BY_NC_4_0,,"Naomi Fraga; Kristy Snyder, Kim A. Schaefer",NA,,2023-07-04T22:04:01Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4128830456,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-303709,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"McDonald Well, east of Hoffman Rd., between Fremont Peak and Harper Valley",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,35.11556,-117.37311,NA,NA,701,NA,NA,NA,2019-06-06T00:00:00Z,6,6,2019,3083665,3083665,PRESERVED_SPECIMEN,UCR,,,6597,,NA,CC_BY_NC_4_0,,"Naomi Fraga; Kristy Snyder, Kim A. Schaefer",NA,,2023-07-04T22:04:01Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4128830320,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-302113,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Watson,US,"Anderson Dry Lake: W part of Fry Mountains and S of the Ord Mountains. From Lucerne Valley, go east on CA-18 Hwy/Old Woman Springs Rd. for about 5.3 miles. Make a left/north onto Camp Rock Rd. and proceed for about 6 miles. At the junction turn right onto Granite Rd. Collected at the southernmost part of the dry lake bed.",California,PRESENT,NA,53e59855-7653-4d3e-87cc-162021713823,34.55272,-116.76522,NA,NA,980,NA,NA,NA,2022-11-17T00:00:00Z,17,11,2022,3083665,3083665,PRESERVED_SPECIMEN,UCR,,,091,,NA,CC_BY_NC_4_0,,Sharon Estrada; Duncan S. Bell,NA,,2023-07-04T22:04:01Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
4116574206,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/161308247,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.180263,-118.227867,3,NA,NA,NA,NA,NA,2023-05-12T13:55:02Z,12,5,2023,3083665,3083665,HUMAN_OBSERVATION,iNaturalist,Observations,161308247,,Steve Matson,2023-05-12T22:37:23Z,CC_BY_4_0,Steve Matson,Steve Matson,NA,,2023-07-06T12:50:17Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4105781929,595b50ad-d31f-471a-82c9-c9ff631db3e3,8411b7cd-8bc3-4c66-9f1c-ee4cc204ca1a,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex polycarpa,NA,SPECIES,Atriplex polycarpa (Torr.) S.Watson,Atriplex polycarpa,(Torr.) S. Wats.,US,"Slopes, east facing, above highway 33, on road to Maricopa",California,PRESENT,NA,26b1b249-1145-4fd4-ae38-0544700224ad,35.13333,-119.44417,NA,NA,300,NA,NA,NA,2000-09-29T00:00:00Z,29,9,2000,3083665,3083665,PRESERVED_SPECIMEN,MWI,,MWI00061424,15694,G.F. Hrusa,2000-01-01T00:00:00Z,CC_BY_4_0,Western Illinois University,"Hrusa, G.F.; T.D. Wilfred",NA,,2023-07-06T21:15:23Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
