gbifid,species,month,year,decimallatitude,decimallongitude
4138103302,Atriplex polycarpa,7,2014,35.972029,-117.910649
4133752310,Atriplex polycarpa,9,2018,33.112812,-114.910645
4128831456,Atriplex polycarpa,6,2019,35.39028,-117.81306
4128830456,Atriplex polycarpa,6,2019,35.11556,-117.37311
4105781929,Atriplex polycarpa,9,2000,35.13333,-119.44417
4091615349,Atriplex polycarpa,4,2021,33.615662,-116.25052
4080637318,Atriplex polycarpa,10,2019,33.498723,-115.911237
4080597309,Atriplex polycarpa,6,2018,33.718803,-116.295635
4076297579,Atriplex polycarpa,2,2022,36.339142,-117.467797
4076002416,Atriplex polycarpa,9,2020,35.77636,-117.928899
4075557570,Atriplex polycarpa,7,2006,36.825721,-117.225537
4073902352,Atriplex polycarpa,12,1999,32.866667,-116.233333
4063054343,Atriplex polycarpa,10,2020,33.685473,-116.258647
4062884325,Atriplex polycarpa,3,2020,33.722754,-116.203147
4062541324,Atriplex polycarpa,8,2019,36.432817,-117.19307
4055040328,Atriplex polycarpa,3,2020,33.627044,-116.265474
4055032783,Atriplex polycarpa,3,2009,34.536729,-115.7492
4054917493,Atriplex polycarpa,10,2016,37.187139,-118.205596
4046733774,Atriplex polycarpa,1,2019,37.207891,-118.225487
4046677468,Atriplex polycarpa,2,2022,33.207956,-116.31444
4046493443,Atriplex polycarpa,2,2022,33.256903,-116.33416
4028903357,Atriplex polycarpa,5,2022,37.228104,-118.238048
4028734511,Atriplex polycarpa,2,2021,34.605737,-117.830208
4018317609,Atriplex polycarpa,8,2022,36.603858,-118.118636
4018213644,Atriplex polycarpa,9,2022,35.039403,-116.381767
4015216330,Atriplex polycarpa,11,2018,33.77712,-116.343209
4014997317,Atriplex polycarpa,7,2018,33.706086,-116.284767
4014947326,Atriplex polycarpa,11,2018,33.721854,-116.310315
4014935324,Atriplex polycarpa,4,2018,33.756842,-116.269337
4014933326,Atriplex polycarpa,11,2018,33.723957,-116.40208
4014830356,Atriplex polycarpa,3,2020,33.62257,-116.264407
4010643330,Atriplex polycarpa,9,2022,35.1832,-114.926017
