x,y,month,year,aet,ppt,tmean,tdiff,presence
-116.233333,32.866667,12,1999,0,0.7300000190734863,12.7,15.07,1
-119.44417,35.13333,9,2000,0,0,23.65,15.7,1
-116.9619,34.4569,10,2000,0,3.940000057220459,17.13,16.33,1
-114.193,34.231,11,2001,0,0,19.69,13.59,1
-114.286,34.173,11,2001,0,0,19.48,13.99,1
-119.3695,34.6335,6,2002,40.119998931884766,0.6000000238418579,18.68,20.67,1
-119.469,34.8313,8,2002,0.07000000029802322,0,24.43,20,1
-114.228056,34.202111,3,2003,25.200000762939453,20.290000915527344,18.33,14.08,1
-117.9273501,35.7110744,3,2003,59.65999984741211,16.15999984741211,10.5,14.25,1
-118.157169,36.719056,4,2003,0,4.769999980926514,11.89,15.25,1
-116.345418,36.193326,6,2003,0,0,28.85,17.61,1
-116.30972,33.825,6,2003,0,0,28.7,15.86,1
-114.22833,34.20278,9,2003,3.2300000190734863,20.290000915527344,32.65,15.04,1
-114.49,34.095833,9,2003,0,18.34000015258789,32.05,16.05,1
-116.28806,35.11833,10,2003,0,0.699999988079071,24.69,21.5,1
-119.4086,35.0606,10,2003,0,0,21.89,15.42,1
-117.8722487,35.6991251,2,2004,0,62.709999084472656,7.91,13.54,1
-116.65,35.016667,4,2004,15.760000228881836,5.449999809265137,19.41,15.75,1
-119.014722,34.931944,5,2004,9.40999984741211,0,18.29,16.38,1
-119.36417,35.32222,8,2004,0,0,26.79,16.44,1
-119.359489,35.313369,9,2004,0,0,24.04,17.65,1
-116.483889,34.483889,10,2004,23.729999542236328,53.83000183105469,17.76,14.94,1
-115.45111,34.28722,10,2004,0,24.399999618530273,22.34,14.33,1
-115.47556,34.32444,10,2004,0,24.75,22.36,14.35,1
-114.466667,34.348056,10,2004,3.130000114440918,86.0199966430664,21.14,13.63,1
-117.9284499,35.688525,10,2004,14.640000343322754,37.84000015258789,15.78,14.82,1
-116.3056,32.9511,11,2004,0,15.5,13.38,12.46,1
-115.07478,33.93462,2,2005,11.5600004196167,77.06999969482422,12.31,9.25,1
-115.88322,33.51506,2,2005,10.699999809265137,71.26000213623047,14.4,10.65,1
-115.41944,34.39333,3,2005,45.11000061035156,2.7300000190734863,17.77,14.57,1
-115.87667,33.51306,3,2005,78.839996337890625,1.7699999809265137,17.62,13.35,1
-119.612778,35.017222,4,2005,40.349998474121094,16.65999984741211,10.84,16.23,1
-117.56778,35.39083,4,2005,64.660003662109375,4.289999961853027,13.5,14.46,1
-116.1175,35.3761,9,2005,0,15.920000076293944,27.66,18.18,1
-119.696667,35.046667,9,2005,7.610000133514404,0.9200000166893004,19.48,17.42,1
-116.3468,33.2219,10,2005,3.740000009536743,46.88999938964844,22.69,14.72,1
-116.1171,32.8776,10,2005,8.989999771118164,30.43000030517578,22.28,17.19,1
-116.21801,32.91989,10,2005,0,33.38999938964844,21.63,17.49,1
-116.2314,32.8656,4,2006,0,0.7699999809265137,17.55,16.87,1
-118.946131,36.098577,4,2006,130.89999389648438,117.7300033569336,14.35,12.05,1
-116.3638,32.9647,5,2006,0,0,22.94,20.96,1
-117.225537,36.825721,7,2006,0,4.769999980926514,38.6,15.99,1
-116.3436,33.1354,7,2006,0,2.990000009536743,32.97,16.47,1
-116.05553,32.70144,10,2006,0,1.4600000381469729,19.76,16.89,1
-117.310342,33.651516,10,2006,0,1.659999966621399,18.79,15.78,1
-116.2199,32.8638,11,2006,0,0,18.29,16.28,1
-119.131389,35.18,8,2007,0,0,27.54,15.97,1
-116.47507,33.09648,10,2007,0,1.559999942779541,19.07,16.69,1
-116.19794,32.84568,12,2007,0,15.31999969482422,11.17,12.76,1
-116.18838,32.87094,12,2007,0,14.710000038146973,11.28,12.75,1
-116.24698,33.17425,12,2007,1.1699999570846558,17.56999969482422,11.68,11.83,1
-116.083183,35.301817,3,2008,0,0,16.63,18.5,1
-119.94279,35.270831,3,2008,0,1.1299999952316284,10.54,16.69,1
-118.111656,35.140457,3,2008,10.75,0.23999999463558197,11.67,15.44,1
-116.3235,35.938583,4,2008,0,0,18.88,16.85,1
-115.38056,35.59833,4,2008,0,0,17.14,15.58,1
-115.7492,34.536729,3,2009,0,0,16.93,17.81,1
-119.431111,34.942694,5,2009,39.79999923706055,5.480000019073486,19.5,18.09,1
-116.42231,32.98049,9,2009,3.319999933242798,3.200000047683716,27.03,20.08,1
-116.42222,33.36881,10,2009,0,0,20.46,16.53,1
-116.07167,33.31361,10,2009,0,0,21.69,15.84,1
-116.05278,33.32917,10,2009,0,0,21.72,15.86,1
-120.32333,36.25167,10,2009,0,42,17.01,14.55,1
-116.349,33.2708,11,2009,0.02999999932944774,0.949999988079071,17.97,15.44,1
-114.99464,34.07413,1,2010,27.43000030517578,67.43000030517578,12.49,12.55,1
-116.10286,35.143114,4,2010,0,0.6200000047683716,18.15,18.11,1
-114.76865,34.897567,4,2010,17.760000228881836,3.0199999809265137,19.01,14.65,1
